,负载率
0,0.15990000000000001
1,0.4167
2,0.2167
3,0.6772
4,0.3085
5,0.6397999999999999
6,0.6835
7,0.5538000000000001
8,0.2146
9,0.15839999999999999
10,0.5321
11,0.4629
12,0.6114
13,0.4397
14,0.6467
15,0.3298
16,0.3398
17,0.5422
18,0.1197
19,0.5362
20,0.8834000000000001
21,0.5256000000000001
22,0.21239999999999998
23,0.6759000000000001
24,0.8073
25,0.344
26,0.6235
27,0.4285
28,0.5676
29,0.6591
30,0.8473999999999999
31,0.6756
32,0.8825
33,0.7733
34,0.2095
35,0.4905
36,0.8208
37,0.3284
38,0.2916
39,0.2504
40,0.09609999999999999
41,0.2975
42,0.2369
43,0.36229999999999996
44,0.36979999999999996
45,0.5938
46,0.0745
47,0.3243
48,0.45880000000000004
49,0.37929999999999997
50,0.34840000000000004
51,0.41619999999999996
52,0.31739999999999996
53,0.3104
54,0.9771
55,0.5465
56,0.6386
57,0.2451
58,0.6362
59,0.46409999999999996
60,0.9487000000000001
61,0.8044
62,0.44799999999999995
63,0.0373
64,0.1497
65,0.1244
66,0.11199999999999999
67,0.1563
68,0.3837
69,0.0
70,0.5427000000000001
71,0.312
72,0.8726
73,0.6212
74,0.1729
75,0.6411
76,0.5633
77,0.7349
78,0.48829999999999996
79,0.6947
80,0.3361
81,0.2962
82,0.163
83,0.0965
84,0.0819
85,0.08529999999999999
86,0.057
87,0.0382
88,0.0207
89,0.059000000000000004
90,0.0209
91,0.4412
92,0.49340000000000006
93,0.26899999999999996
94,0.5509000000000001
95,0.6776000000000001
96,0.3655
97,0.46950000000000003
98,0.1839
99,0.1617
100,0.3682
101,0.0371
102,0.4824
103,0.4904
104,0.6154
105,0.7755
106,0.7606999999999999
107,0.1957
108,0.4807
109,0.33020000000000005
110,0.7739
111,0.4204
112,0.4157
113,0.1989
114,0.2006
115,0.2238
116,0.2077
117,0.14279999999999998
118,0.2205
119,0.31579999999999997
120,0.0956
121,0.0
122,0.8539
123,0.0
124,0.5154
125,0.1119
126,0.1445
127,0.46799999999999997
128,0.195
129,0.19899999999999998
130,0.42369999999999997
131,0.44659999999999994
132,0.3665
133,0.6161
134,0.4743
135,0.2967
136,0.5556
137,0.46009999999999995
138,0.5725
139,0.44789999999999996
140,0.7166
141,0.44
142,0.6011
143,0.9392
144,0.3125
145,0.43329999999999996
146,0.7340000000000001
147,0.0
148,0.43689999999999996
149,0.3987
150,0.3826
151,0.47700000000000004
152,0.5939
153,0.6103000000000001
154,0.4177
155,0.5710000000000001
156,0.3885
157,0.5202
158,0.5181
159,0.5223
160,0.3771
161,0.2525
162,0.5706
163,0.8256
164,0.3801
165,0.3436
166,0.5154
167,0.7912
168,0.442
169,0.35850000000000004
170,0.6589
171,0.2332
172,0.6322
173,0.1127
174,0.0
175,0.0
176,0.157
177,0.1709
178,0.7725
179,0.5183
180,0.4683
181,0.1491
182,0.7421
183,0.3251
184,0.2763
185,0.1925
186,0.5622
187,0.5893
188,0.7384000000000001
189,0.6114999999999999
190,0.9162
191,0.5892000000000001
192,0.49579999999999996
193,0.5414
194,0.4793
195,0.4006
196,0.2857
197,0.4732
198,0.3028
199,0.24230000000000002
200,0.7608
201,0.6184000000000001
202,0.8623999999999999
203,0.20629999999999998
204,0.3211
205,0.387
206,0.2349
207,0.40270000000000006
208,0.4604
209,0.0594
210,0.6840999999999999
211,0.7191
212,0.193
213,0.33399999999999996
214,0.7548
215,0.7454000000000001
216,0.4617
217,0.3625
218,0.6025
219,0.5528
220,0.632
221,0.5932
222,0.507
223,0.3103
224,0.6078
225,0.3063
226,0.5329
227,0.757
228,0.8886
229,0.32380000000000003
230,0.5740999999999999
231,0.9359000000000001
232,0.193
