序号,A,B,C,D,E,STATE
1,0,1.9,3.9,13,0,正常
2,1.1,6.4,14.8,18.5,6.19,放电兼过热
3,1.5,13.3,33.9,29.4,0.8,正常
4,1.91,10.46,1.7,2.7,40,放电兼过热
5,2.17,4.43,0.71,0.9,0.01,正常
6,3,1.9,1.9,1.2,0,正常
7,3.27,14.47,3.13,4.74,33.8,放电兼过热
8,4.079,20.83,6.992,67.589,0.51,过热
9,5,1.61,0.05,0.05,0.05,正常
10,5.2,8.4,6.6,19,18,放电
11,6.2,5.7,3.1,2.1,0.1,正常
12,6.5,5.5,3.3,2.4,3.1,正常
13,7.85,21.26,4.44,7.85,65.8,放电兼过热
14,8.43,22.71,4.87,8.35,69.07,放电兼过热
15,8.5,7.2,4.3,3.9,3.5,正常
16,9.07,24.08,5.22,8.87,90.83,放电兼过热
17,10.6,16.7,0.3,19.3,0.2,正常
18,11,5,2.7,3.2,1.7,正常
19,11.15,21.7,11.25,52.9,2.36,过热
20,11.8,6.5,4.2,13,0,正常
21,12.1,3.3,9.3,2.2,0.2,正常
22,13,11,3.6,1.3,0,正常
23,13.1,44.7,91.5,213.3,4.2,过热
24,13.6,5.3,8.2,29,2.1,正常
25,13.6,46.5,45,116.1,0,过热
26,14.1,4,1.3,1.5,9.5,放电
27,14.67,3.68,10.54,2.71,0.2,正常
28,14.7,3.8,10.5,2.7,0.2,正常
29,15,7.8,1.7,6.6,0,正常
30,15.02,4.2,9.8,2.5,0.2,正常
31,16,9,6,9,2,正常
32,20.1,62.1,34.7,73.2,0,过热
33,20.88,212.29,324.05,73.06,0.92,过热
34,22,69.2,35,15.5,0,过热
35,22.7,150.3,160.8,400.8,0,过热
36,23.01,23.85,37.66,15.48,0,过热
37,23.6,170.6,180.4,450.9,0,过热
38,24,261,201,196,4,过热
39,24.8,220.6,198,195.2,1,过热
40,26,90,51,93,0,过热
41,26.7,90.6,49.2,95,0.5,过热
42,27,71,44,86,0,过热
43,28,90,48,87,0,过热
44,29.19,187.55,329.49,74.43,1,过热
45,29.9,24.1,34.3,92.5,0.6,过热
46,30,207,2.5,2.4,0.4,放电兼过热
47,32,31,7.5,50,1.1,放电兼过热
48,35.15,50.99,8.16,5.66,0,过热
49,44.32,63.28,16.26,20.18,0,过热
50,45,11,2.7,12.7,28.5,放电
51,46,66,18,11,0,过热
52,54.3,70.9,156.3,17.2,4.2,过热
53,56,99.9,51.4,248.8,2.3,放电兼过热
54,58,10.2,4,10.1,12.6,放电
55,58.01,18.66,4.68,8.62,9.78,放电
56,58.54,116.04,175.74,34.12,0.72,过热
57,59.26,120.18,185.97,36.84,0.05,过热
58,63,7.4,1.8,17,6.2,放电兼过热
59,64.38,77.53,20.6,11.56,0,过热
60,64.9,20.5,37.6,88.2,12,放电
61,65,26.1,7.1,16.6,57.8,放电
62,70.2,246.6,171.5,371,0,过热
