Date,Time
2007/1/4,12:09:00
2007/1/4,12:10:00
2007/1/4,12:11:00
2007/1/4,12:12:00
2007/1/4,12:13:00
2007/1/4,12:14:00
2007/1/4,12:15:00
2007/1/4,12:16:00
2007/1/4,12:17:00
2007/1/4,12:18:00
2007/1/4,12:19:00
2007/1/4,12:20:00
2007/1/4,12:21:00
2007/1/4,13:25:00
2007/1/4,13:26:00
2007/1/4,13:27:00
2007/1/4,13:28:00
2007/1/4,13:29:00
2007/1/4,13:30:00
2007/1/4,13:31:00
2007/1/4,13:32:00
2007/1/4,13:33:00
2007/1/4,13:34:00
2007/1/4,13:35:00
2007/1/4,13:36:00
2007/1/4,13:37:00
2007/1/4,13:38:00
2007/1/6,12:15:00
2007/1/6,12:16:00
2007/1/6,12:17:00
2007/1/7,13:16:00
2007/1/7,13:17:00
2007/1/7,13:18:00
2007/1/7,13:19:00
2007/1/7,13:20:00
2007/1/7,13:21:00
2007/1/7,13:22:00
2007/1/7,13:23:00
2007/1/7,13:24:00
2007/1/7,13:25:00
2007/1/7,13:26:00
2007/1/7,13:27:00
2007/1/7,15:07:00
2007/1/7,15:08:00
2007/1/7,15:09:00
2007/1/7,15:10:00
2007/1/7,15:11:00
2007/1/7,15:12:00
2007/1/7,15:13:00
2007/1/7,15:14:00
2007/1/7,15:15:00
2007/1/7,15:16:00
2007/1/7,15:18:00
2007/1/7,18:00:00
2007/1/7,18:01:00
2007/1/7,18:02:00
2007/1/7,18:03:00
2007/1/7,18:04:00
2007/1/7,18:05:00
2007/1/7,18:06:00
2007/1/7,18:07:00
2007/1/7,18:08:00
2007/1/7,18:09:00
2007/1/7,18:15:00
2007/1/7,18:16:00
2007/1/7,18:17:00
2007/1/7,18:35:00
2007/1/7,21:09:00
2007/1/7,21:10:00
2007/1/7,21:11:00
2007/1/7,21:12:00
2007/1/7,21:13:00
2007/1/7,21:14:00
2007/1/7,21:15:00
2007/1/7,21:16:00
2007/1/7,21:17:00
2007/1/7,21:18:00
2007/1/7,21:19:00
2007/1/7,21:20:00
2007/1/7,21:21:00
2007/1/9,20:50:00
2007/1/9,20:51:00
2007/1/9,20:52:00
2007/1/9,20:53:00
2007/1/9,20:54:00
2007/1/9,20:55:00
2007/1/9,20:56:00
2007/1/9,20:57:00
2007/1/9,20:58:00
2007/1/9,20:59:00
2007/1/9,21:00:00
2007/1/9,21:01:00
2007/1/9,21:02:00
2007/1/9,21:03:00
2007/1/10,6:53:00
2007/1/10,6:54:00
2007/1/10,11:18:00
2007/1/10,11:19:00
2007/1/10,11:20:00
2007/1/10,11:21:00
2007/1/10,11:22:00
2007/1/10,11:23:00
2007/1/10,11:24:00
2007/1/10,11:25:00
2007/1/10,11:26:00
2007/1/10,11:27:00
2007/1/10,11:28:00
2007/1/10,11:29:00
2007/1/10,11:30:00
2007/1/10,11:31:00
2007/1/10,11:32:00
2007/1/10,11:33:00
2007/1/10,11:34:00
2007/1/10,11:35:00
2007/1/10,11:36:00
2007/1/10,11:40:00
2007/1/10,11:41:00
2007/1/10,11:45:00
2007/1/10,11:46:00
2007/1/10,11:47:00
2007/1/10,11:48:00
2007/1/10,11:49:00
2007/1/10,11:50:00
2007/1/10,11:51:00
2007/1/11,16:36:00
2007/1/11,16:37:00
2007/1/11,19:43:00
2007/1/11,19:44:00
2007/1/11,19:45:00
2007/1/11,19:46:00
2007/1/11,19:47:00
2007/1/11,19:48:00
2007/1/11,19:49:00
2007/1/11,19:50:00
2007/1/11,19:51:00
2007/1/11,19:52:00
2007/1/11,19:53:00
2007/1/11,19:54:00
2007/1/11,19:55:00
2007/1/11,19:56:00
2007/1/11,19:57:00
2007/1/12,6:57:00
2007/1/13,8:39:00
2007/1/13,8:40:00
2007/1/13,8:42:00
2007/1/13,8:43:00
2007/1/13,10:57:00
2007/1/13,10:58:00
2007/1/13,10:59:00
2007/1/13,11:00:00
2007/1/13,11:01:00
2007/1/13,11:02:00
2007/1/13,11:03:00
2007/1/13,11:04:00
