CONS_NO,START_DATE,END_DATE,TOTAL_START_KWH,TOTAL_END_KWH,SUM_KWH
1000009393,20150101,20151231,463.81,603.34,139.53
1000112070,20150101,20151231,0.0,2013.82,2013.82
1000147535,20150101,20151231,3263.61,5087.78,1824.17
1000581700,20150101,20151231,4092.72,5903.77,1811.05
1001057057,20150101,20151231,9045.31,13543.51,4498.2
1001299400,20150101,20151231,6987.84,9966.22,2978.38
1002014383,20150101,20151231,3879.5,4702.16,822.66
1002020324,20150101,20151231,48.99,120.11,71.12
1002212470,20150101,20151231,3834.98,5668.96,1833.98
1006010033,20150410,20151231,5629.38,224.37,-5405.01
1007069541,20150101,20151231,2922.84,7000.9,4078.06
100910570,20150101,20151231,987.67,2841.51,1853.84
101020324,20150101,20151231,495.66,1231.41,735.75
1011100023,20150101,20151231,664.09,1848.59,1184.5
1011764383,20150101,20151223,2746.21,7084.82,4338.61
1012440062,20150101,20151231,3000.71,3665.44,664.73
1014280051,20150523,20151231,1386.82,3969.09,2582.27
1014968250,20150101,20151231,0.0,0.08,0.08
1015103116,20150101,20151231,1772.57,3278.52,1505.95
1015319535,20150101,20151231,22373.47,33772.07,11398.6
1015346657,20150101,20151231,35.5,52.21,16.71
1015908250,20150101,20151231,14753.59,12305.369999999999,-2448.22
101903141,20150101,20151231,1063.92,4060.84,2996.92
102002535,20150101,20151231,8208.79,14111.43,5902.64
102020324,20150101,20151231,1894.05,5678.0,3783.95
1020230457,20150101,20151231,12689.92,17525.18,4835.26
1020324,20150101,20151231,0.0,0.0,0.0
1020910570,20150101,20151231,31.15,167.05,135.9
1021903141,20150101,20151231,0.43,765.83,765.4
1022020324,20150101,20151231,528.09,1166.25,638.16
102212470,20150101,20151231,3409.72,4928.03,1518.31
1022440062,20150101,20151231,2339.03,3243.09,904.06
1024071357,20150101,20151231,1275.14,4972.92,3697.78
1024314033,20150101,20151231,2044.71,3166.98,1122.27
1024903141,20150127,20151231,0.0,5097.3,5097.3
1025702160,20150101,20151231,14880.65,23473.4,8592.75
1026047535,20150101,20151231,5876.73,7815.97,1939.24
1027989541,20150216,20151231,1254.47,2583.48,1329.01
1029259057,20150101,20151231,3744.8,4953.17,1208.37
1030581700,20150101,20151231,5032.67,8161.99,3129.32
1030910570,20150101,20151231,446.6,3626.76,3180.16
1031058330,20150101,20151231,812.93,1627.94,815.01
1031100023,20150101,20151231,245.03,1006.93,761.9
1031903141,20150101,20151231,410.84,1297.46,886.62
1034314033,20150101,20151231,368.39,1163.25,794.86
1035006541,20150101,20151231,1578.6,6050.1,4471.5
1037010033,20150410,20151231,7543.14,171.98,-7371.16
1037069541,20150101,20151231,1419.68,5741.22,4321.54
1038004100,20150101,20151231,4580.24,6831.83,2251.59
1040764383,20150101,20151231,499.99,499.99,0.0
1041020324,20150101,20151231,121.0,257.06,136.06
1042335657,20150101,20151231,576.17,1190.39,614.22
104280051,20150522,20151231,141.54,165.87,24.33
104314033,20150101,20151231,4014.64,7137.16,3122.52
1044010033,20150410,20151231,6722.27,8189.25,1466.98
1045709057,20150101,20151231,9619.17,14213.76,4594.59
1050058330,20150101,20151231,3295.75,3915.98,620.23
1050203016,20150217,20151231,486.55,1178.79,692.24
1051020324,20150101,20151231,1541.75,4142.25,2600.5
1051100023,20150101,20151231,119.68,682.98,563.3
1051903141,20150101,20151231,88.98,375.45,286.47
1051924383,20150101,20151231,0.54,0.97,0.43
1052100051,20150101,20151231,329.93,1503.36,1173.43
1053212470,20150101,20151230,6899.6,10109.26,3209.66
