CONS_NO,CHK_STATE
1005319535,0
100808032,0
1008400751,1
101929250,0
1038589100,0
1041903141,0
1045430160,0
1045702160,0
1062988250,1
1083620022,0
1086510022,0
112020324,0
116924157,0
17069541,0
183030094,0
204280051,0
213250055,1
213330935,0
221338035,1
246030735,1
256038635,0
302333035,0
302800060,0
313835635,0
332440062,0
368908250,1
376003116,0
384740250,1
384968250,0
388932635,1
400100541,0
419972457,0
420910570,1
442440062,0
446320065,1
450140541,0
479002090,0
480332935,0
514526357,0
519001270,0
548976557,0
549032735,0
558589100,0
580112070,0
615430160,0
646500160,0
648909057,0
659036735,0
662100051,0
698231735,0
7036735,1
7069541,0
71012400,1
71968250,0
726810457,0
730061211,0
730422657,0
733132635,0
757160250,1
764030635,1
768300023,0
778589100,0
785933635,0
81020324,0
838589100,0
839908250,1
844040055,0
852035635,0
855030635,0
861035735,0
864001270,0
881196020,1
892533635,0
921000140,0
922020324,0
958589100,0
961203016,0
962100051,0
964430160,0
