ÐòºÅ,A,B,C,D,E,STATE
1,0,3.7,1,10,0,
2,0.33,0.36,0.04,0.27,0,
3,3.08,0.54,2.94,4.52,42.75,
4,4.89,15.96,3.15,4.88,50.26,
5,5.07,26.26,3.17,2.77,12.3,
6,6.8,6.3,0.5,0.9,0,
7,7,5.2,0,11,37,
8,7.1,3.3,0.6,2.9,0,
9,8.86,23.32,4.93,8.58,52.02,
10,9.11,1.02,1.08,1.65,0,
11,9.2,9.9,3.9,12,0,
12,9.6,6,11,7.8,0.6,
13,10.01,100.68,35.1,64.53,1.46,
14,10.2,50,26,14,0,
15,18,65,34,60,0,
16,18.3,61.6,13.6,90.2,0,
17,19,136,55,164,0.29,
18,19.6,320.7,574.7,279.2,0,
19,20,207,2.5,2.4,0.4,
20,42,9.75,1.41,9.55,51.66,
21,43.6,20.1,3.2,7.2,10.9,
22,46.9,161.6,94.1,193.3,0.56,
23,49,5.6,1.9,4.5,19.7,
24,49.7,11.84,18.32,1.55,0.05,
25,51.01,6.63,4.2,1.55,0.88,
26,53.6,17.7,13.2,5,0,
27,53.9,8.3,1.1,6,7.1,
28,54,7,7.4,8.6,5.4,
29,54,214,131,735,13,
30,66,60,2,7,0,
31,27.7,4.11,0,1.69,0,
32,67,23.47,1.96,20.92,28.77,
33,13.567,26.538,6.29,4.415,0,
34,62.02,0.69,0.76,0.69,0,
35,0,14.9,8.8,11.9,0,
36,76,11.11,1.88,8.67,11.65,
37,187,240,12,99,47,
38,198,39,7.1,27,22.5,
39,912,2925,1311,1477.7,0,
40,30,200,114,308,8,
