日期,故障报修受理数量,最高气温
2013.1.1,2318,-1
2013.1.2,2286,3
2013.1.3,2213,-1
2013.1.4,2024,1
2013.1.5,2038,3
2013.1.6,2017,4
2013.1.7,2006,4
2013.1.8,1988,6
2013.1.9,1969,5
2013.1.10,1921,7
2013.1.11,1889,7
2013.1.12,1896,9
2013.1.13,1909,0
2013.1.14,1927,9
2013.1.15,1962,9
2013.1.16,1994,6
2013.1.17,1886,4
2013.1.18,1834,5
2013.1.19,1817,9
2013.1.20,1795,9
2013.1.21,1821,5
2013.1.22,1803,5
2013.1.23,1811,8
2013.1.24,1782,9
2013.1.25,1799,-1
2013.1.26,1712,10
2013.1.27,1725,9
2013.1.28,1689,12
2013.1.29,1683,4
2013.1.30,1956,18
2013.1.31,2243,15
2013.2.1,2228,12
2013.2.2,1921,4
2013.2.3,1714,11
2013.2.4,2011,10
2013.2.5,1932,6
2013.2.6,2441,6
2013.2.7,3005,3
2013.2.8,3589,8
2013.2.9,4156,3
2013.2.10,1843,-1
2013.2.11,1721,6
2013.2.12,1534,6
2013.2.13,1619,9
2013.2.14,1522,8
2013.2.15,1582,9
2013.2.16,1490,11
2013.2.17,1861,10
2013.2.18,2246,6
2013.2.19,2984,2
2013.2.20,2104,8
2013.2.21,1593,11
2013.2.22,1521,13
2013.2.23,1470,13
2013.2.24,1411,15
2013.2.25,1388,17
2013.2.26,1438,15
2013.2.27,1511,15
2013.2.28,1922,18
2013.3.1,1438,7
2013.3.2,1409,8
2013.3.3,1393,12
2013.3.4,1358,17
2013.3.5,1495,20
2013.3.6,1403,24
2013.3.7,1415,24
2013.3.8,1732,26
2013.3.9,2479,29
2013.3.10,2633,11
2013.3.11,2012,11
2013.3.12,1470,22
2013.3.13,1833,9
2013.3.14,1791,10
2013.3.15,1464,15
2013.3.16,1497,15
2013.3.17,1855,9
2013.3.18,1613,21
2013.3.19,1506,19
2013.3.20,1587,9
2013.3.21,1479,8
2013.3.22,1574,18
2013.3.23,1482,12
2013.3.24,1419,12
2013.3.25,1511,5
2013.3.26,1426,10
2013.3.27,1402,17
2013.3.28,1223,21
2013.3.29,1309,6
2013.3.30,1466,17
2013.3.31,1335,20
2013.4.1,1413,22
2013.4.2,1365,6
2013.4.3,1407,20
2013.4.4,1372,23
2013.4.5,1338,17
2013.4.6,1224,2
2013.4.7,1375,17
2013.4.8,1528,21
2013.4.9,1989,17
2013.4.10,1677,6
2013.4.11,1366,22
2013.4.12,1341,25
2013.4.13,1382,28
2013.4.14,1239,27
2013.4.15,1347,31
2013.4.16,1482,29
2013.4.17,1410,26
2013.4.18,1474,21
2013.4.19,1354,17
2013.4.20,1463,11
2013.4.21,1389,16
2013.4.22,1490,18
2013.4.23,1408,15
2013.4.24,1588,22
2013.4.25,1423,26
2013.4.26,1504,26
2013.4.27,1415,30
2013.4.28,1322,30
2013.4.29,1486,24
2013.4.30,1563,24
2013.5.1,1354,26
2013.5.2,1197,26
2013.5.3,1152,26
2013.5.4,1160,26
2013.5.5,1182,27
2013.5.6,1221,21
2013.5.7,1256,22
2013.5.8,1281,19
2013.5.9,1409,21
2013.5.10,1756,25
2013.5.11,1903,29
2013.5.12,1846,30
2013.5.13,1570,18
2013.5.14,1597,33
2013.5.15,1592,26
2013.5.16,1603,18
2013.5.17,1615,21
2013.5.18,1636,17
2013.5.19,1590,28
2013.5.20,1512,30
2013.5.21,1605,32
2013.5.22,1526,33
2013.5.23,1570,28
2013.5.24,2391,30
2013.5.25,3166,20
2013.5.26,2201,23
2013.5.27,1784,24
2013.5.28,1633,20
2013.5.29,1505,28
2013.5.30,1573,17
2013.5.31,1534,23
2013.6.1,1561,24
2013.6.2,1549,25
2013.6.3,1532,28
2013.6.4,1581,19
2013.6.5,1547,30
2013.6.6,1602,30
2013.6.7,2416,22
2013.6.8,2871,22
2013.6.9,3278,22
2013.6.10,2781,27
2013.6.11,2174,20
2013.6.12,1819,27
2013.6.13,1687,29
2013.6.14,1522,27
2013.6.15,2331,30
2013.6.16,3389,32
2013.6.17,4358,35
2013.6.18,3577,36
2013.6.19,2883,32
2013.6.20,2010,31
2013.6.21,1832,31
2013.6.22,2341,30
2013.6.23,1803,22
2013.6.24,2480,27
2013.6.25,1125,25
2013.6.26,2231,26
2013.6.27,1822,21
2013.6.28,1715,28
2013.6.29,1883,28
2013.6.30,2635,31
2013.7.1,3547,35
2013.7.2,4410,36
2013.7.3,4103,35
2013.7.4,4175,36
2013.7.5,4288,34
2013.7.6,3759,33
2013.7.7,2723,30
2013.7.8,3456,33
2013.7.9,4311,35
2013.7.10,5234,36
2013.7.11,4095,36
2013.7.12,5379,37
2013.7.13,4031,35
2013.7.14,2889,34
2013.7.15,3106,33
2013.7.16,1358,26
2013.7.17,3677,34
2013.7.18,3902,35
2013.7.19,3745,36
2013.7.20,3346,34
2013.7.21,2844,31
2013.7.22,3102,32
2013.7.23,3489,35
2013.7.24,3866,37
2013.7.25,4389,37
2013.7.26,4993,37
2013.7.27,5720,36
2013.7.28,5841,37
2013.7.29,5189,36
2013.7.30,5482,36
2013.7.31,5987,36
2013.8.1,3798,35
2013.8.2,5269,36
2013.8.3,4333,34
2013.8.4,3216,28
2013.8.5,3131,36
2013.8.6,4285,37
2013.8.7,6603,39
2013.8.8,4966,39
2013.8.9,6452,39
2013.8.10,5889,39
2013.8.11,5103,39
2013.8.12,3689,39
2013.8.13,3603,39
2013.8.14,3924,38
2013.8.15,3448,37
2013.8.16,3532,35
2013.8.17,3008,37
2013.8.18,1563,27
2013.8.19,2011,34
2013.8.20,2573,34
2013.8.21,2614,34
2013.8.22,3541,32
2013.8.23,3035,33
2013.8.24,2006,34
2013.8.25,1998,24
2013.8.26,2221,27
2013.8.27,2874,32
2013.8.28,2403,35
2013.8.29,2005,35
2013.8.30,1791,32
2013.8.31,1548,28
2013.9.1,1571,19
2013.9.2,1530,29
2013.9.3,1546,29
2013.9.4,1522,29
2013.9.5,1631,17
2013.9.6,1548,21
2013.9.7,1689,24
2013.9.8,1967,27
2013.9.9,2020,23
2013.9.10,2101,31
2013.9.11,2217,25
2013.9.12,1991,28
2013.9.13,1785,24
2013.9.14,1591,33
2013.9.15,1532,31
2013.9.16,1558,31
2013.9.17,1527,21
2013.9.18,1468,29
2013.9.19,1411,31
2013.9.20,1526,31
2013.9.21,1734,24
2013.9.22,2003,29
2013.9.23,2405,30
2013.9.24,2086,23
2013.9.25,1794,15
2013.9.26,1576,24
2013.9.27,1531,22
2013.9.28,1603,20
2013.9.29,1522,25
2013.9.30,1483,27
2013.10.1,1580,26
2013.10.2,1511,26
2013.10.3,1389,25
2013.10.4,1463,25
2013.10.5,1712,26
2013.10.6,2410,25
2013.10.7,3006,23
2013.10.8,1880,22
2013.10.9,1885,25
2013.10.10,1753,17
2013.10.11,1862,28
2013.10.12,1914,28
2013.10.13,1105,17
2013.10.14,188,27
2013.10.15,924,16
2013.10.16,1417,18
2013.10.17,1521,18
2013.10.18,1420,23
2013.10.19,1409,22
2013.10.20,1492,23
2013.10.21,1465,21
2013.10.22,1444,22
2013.10.23,1578,23
2013.10.24,1523,20
2013.10.25,1495,18
2013.10.26,1584,8
2013.10.27,1503,20
2013.10.28,1565,23
2013.10.29,1522,24
2013.10.30,1610,15
2013.10.31,1531,18
2013.11.1,1589,20
2013.11.2,1626,22
2013.11.3,1596,11
2013.11.4,1579,20
2013.11.5,1566,20
2013.11.6,1572,21
2013.11.7,1583,22
2013.11.8,1636,24
2013.11.9,1697,23
2013.11.10,1787,15
2013.11.11,1821,15
2013.11.12,1798,15
2013.11.13,1765,17
2013.11.14,1777,16
2013.11.15,1690,18
2013.11.16,1631,20
2013.11.17,1584,15
2013.11.18,1610,14
2013.11.19,1532,15
2013.11.20,1623,18
2013.11.21,1867,19
2013.11.22,2001,18
2013.11.23,1856,18
2013.11.24,1685,15
2013.11.25,1691,15
2013.11.26,1788,14
2013.11.27,1962,9
2013.11.28,1879,8
2013.11.29,1796,2
2013.11.30,1704,14
2013.12.1,1750,13
2013.12.2,1698,16
2013.12.3,1624,17
2013.12.4,1705,6
2013.12.5,1792,16
2013.12.6,1833,13
2013.12.7,1897,13
2013.12.8,1941,4
2013.12.9,1925,9
2013.12.10,1931,8
2013.12.11,1987,9
2013.12.12,1821,12
2013.12.13,1828,1
2013.12.14,1830,13
2013.12.15,1859,12
2013.12.16,1881,7
2013.12.17,1922,7
2013.12.18,1980,8
2013.12.19,2045,7
2013.12.20,2192,6
2013.12.21,2141,5
2013.12.22,2095,5
2013.12.23,2055,7
2013.12.24,2004,7
2013.12.25,2009,9
2013.12.26,2311,-4
2013.12.27,2625,3
2013.12.28,2356,5
2013.12.29,2314,7
2013.12.30,2202,11
2013.12.31,2067,13
