日期,故障报修受理数量,最高气温
2013.3.8,1732,26
2013.3.9,2479,29
2013.4.12,1341,25
2013.4.13,1382,28
2013.4.14,1239,27
2013.4.15,1347,31
2013.4.16,1482,29
2013.4.17,1410,26
2013.4.25,1423,26
2013.4.26,1504,26
2013.4.27,1415,30
2013.4.28,1322,30
2013.5.1,1354,26
2013.5.2,1197,26
2013.5.3,1152,26
2013.5.4,1160,26
2013.5.5,1182,27
2013.5.10,1756,25
2013.5.11,1903,29
2013.5.12,1846,30
2013.5.14,1597,33
2013.5.15,1592,26
2013.5.19,1590,28
2013.5.20,1512,30
2013.5.21,1605,32
2013.5.22,1526,33
2013.5.23,1570,28
2013.5.24,2391,30
2013.5.29,1505,28
2013.6.2,1549,25
2013.6.3,1532,28
2013.6.5,1547,30
2013.6.6,1602,30
2013.6.10,2781,27
2013.6.12,1819,27
2013.6.13,1687,29
2013.6.14,1522,27
2013.6.15,2331,30
2013.6.16,3389,32
2013.6.17,4358,35
2013.6.18,3577,36
2013.6.19,2883,32
2013.6.20,2010,31
2013.6.21,1832,31
2013.6.22,2341,30
2013.6.24,2480,27
2013.6.25,1125,25
2013.6.26,2231,26
2013.6.28,1715,28
2013.6.29,1883,28
2013.6.30,2635,31
2013.7.1,3547,35
2013.7.2,4410,36
2013.7.3,4103,35
2013.7.4,4175,36
2013.7.5,4288,34
2013.7.6,3759,33
2013.7.7,2723,30
2013.7.8,3456,33
2013.7.9,4311,35
2013.7.10,5234,36
2013.7.11,4095,36
2013.7.12,5379,37
2013.7.13,4031,35
2013.7.14,2889,34
2013.7.15,3106,33
2013.7.16,1358,26
2013.7.17,3677,34
2013.7.18,3902,35
2013.7.19,3745,36
2013.7.20,3346,34
2013.7.21,2844,31
2013.7.22,3102,32
2013.7.23,3489,35
2013.7.24,3866,37
2013.7.25,4389,37
2013.7.26,4993,37
2013.7.27,5720,36
2013.7.28,5841,37
2013.7.29,5189,36
2013.7.30,5482,36
2013.7.31,5987,36
2013.8.1,3798,35
2013.8.2,5269,36
2013.8.3,4333,34
2013.8.4,3216,28
2013.8.5,3131,36
2013.8.6,4285,37
2013.8.7,6603,39
2013.8.8,4966,39
2013.8.9,6452,39
2013.8.10,5889,39
2013.8.11,5103,39
2013.8.12,3689,39
2013.8.13,3603,39
2013.8.14,3924,38
2013.8.15,3448,37
2013.8.16,3532,35
2013.8.17,3008,37
2013.8.18,1563,27
2013.8.19,2011,34
2013.8.20,2573,34
2013.8.21,2614,34
2013.8.22,3541,32
2013.8.23,3035,33
2013.8.24,2006,34
2013.8.26,2221,27
2013.8.27,2874,32
2013.8.28,2403,35
2013.8.29,2005,35
2013.8.30,1791,32
2013.8.31,1548,28
2013.9.2,1530,29
2013.9.3,1546,29
2013.9.4,1522,29
2013.9.8,1967,27
2013.9.10,2101,31
2013.9.11,2217,25
2013.9.12,1991,28
2013.9.14,1591,33
2013.9.15,1532,31
2013.9.16,1558,31
2013.9.18,1468,29
2013.9.19,1411,31
2013.9.20,1526,31
2013.9.22,2003,29
2013.9.23,2405,30
2013.9.29,1522,25
2013.9.30,1483,27
2013.10.1,1580,26
2013.10.2,1511,26
2013.10.3,1389,25
2013.10.4,1463,25
2013.10.5,1712,26
2013.10.6,2410,25
2013.10.9,1885,25
2013.10.11,1862,28
2013.10.12,1914,28
2013.10.14,188,27
