DATA_DATE_E,PRO_M,ERR_TIME_R,ERR_DEV,ERR_TYPE,RES_TYPE
2014/1/1 9:14,重合不成,2014/1/1 12:36,拉线,外力因素,建设施工
2014/1/1 13:19,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/1 14:49,重合不成,2014/1/1 16:20,拉线,外力因素,车辆
2014/1/1 15:32,重合不成,2014/1/1 18:24,令克,用户原因,用户运行和维护管理不到位
2014/1/1 17:19,重合不成,2014/1/1 20:25,电缆,设计安装不当,安装工艺不当
2014/1/2 9:05,重合不成,2014/1/2 10:30,开关柜,设备本体,设备老化
2014/1/2 9:32,重合不成,2014/1/2 10:50,令克,设备本体,设备老化
2014/1/2 10:45,重合不成,2014/1/2 12:32,架空导线,外力因素,建设施工
2014/1/3 7:06,重合成功,,电缆,用户原因,外力破坏
2014/1/3 9:08,重合不成,2014/1/3 11:37,令克,用户原因,用户运行和维护管理不到位
2014/1/3 9:55,重合成功,,电缆,用户原因,外力破坏
2014/1/3 10:09,接地,2014/1/3 11:27,配电变压器,用户原因,用户运行和维护管理不到位
2014/1/3 14:21,重合成功,,,原因不明,
2014/1/3 14:40,无重合闸,2014/1/3 16:00,电缆附件,外力因素,建设施工
2014/1/4 1:10,无重合闸,2014/1/4 2:41,配电变压器,用户原因,用户运行和维护管理不到位
2014/1/4 7:43,重合成功,,,原因不明,
2014/1/4 18:05,接地,2014/1/4 18:22,配电变压器,设备本体,设备老化
2014/1/5 5:03,重合成功,,,原因不明,
2014/1/5 8:26,重合成功,,,原因不明,
2014/1/5 8:42,重合不成,2014/1/5 10:19,令克,用户原因,用户运行和维护管理不到位
2014/1/5 9:50,重合成功,,拉线,外力因素,车辆
2014/1/5 10:15,重合不成,2014/1/5 11:23,架空导线,外力因素,建设施工
2014/1/5 10:50,重合不成,2014/1/5 12:08,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/5 14:30,重合不成,2014/1/5 16:10,配电变压器,用户原因,用户运行和维护管理不到位
2014/1/5 14:45,重合成功,,电缆,用户原因,绝缘状况差
2014/1/5 14:47,重合成功,,,原因不明,
2014/1/5 14:47,重合成功,,电缆,用户原因,用户运行和维护管理不到位
2014/1/5 16:12,重合不成,2014/1/5 16:18,配电变压器,用户原因,用户运行和维护管理不到位
2014/1/6 8:35,重合不成,2014/1/6 10:15,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/6 11:51,重合成功,,,原因不明,
