DATA_DATE_E,ERR_NUM
2014/1/1,5
2014/1/2,3
2014/1/3,6
2014/1/4,3
2014/1/5,11
2014/1/6,5
2014/1/7,6
2014/1/8,6
2014/1/9,4
2014/1/10,10
2014/1/11,8
2014/1/12,7
2014/1/13,4
2014/1/14,3
2014/1/15,4
2014/1/16,4
2014/1/17,4
2014/1/18,9
2014/1/19,8
2014/1/20,3
2014/1/21,7
2014/1/22,4
2014/1/23,1
2014/1/24,3
2014/1/25,3
2014/1/26,1
2014/1/27,2
2014/1/29,7
2014/1/30,1
2014/1/31,2
2014/2/1,3
2014/2/2,3
2014/2/3,3
2014/2/4,1
2014/2/5,16
2014/2/6,12
2014/2/7,6
2014/2/8,3
2014/2/9,6
2014/2/10,1
2014/2/11,6
2014/2/12,3
2014/2/13,7
2014/2/14,2
2014/2/15,5
2014/2/16,3
2014/2/17,4
2014/2/18,5
2014/2/19,8
2014/2/20,4
2014/2/21,4
2014/2/22,1
2014/2/23,6
2014/2/24,6
2014/2/25,1
2014/2/26,2
2014/2/27,3
2014/2/28,2
2014/3/1,7
2014/3/2,3
2014/3/3,9
2014/3/4,9
2014/3/5,4
2014/3/6,4
2014/3/7,4
2014/3/8,3
2014/3/9,4
2014/3/10,8
2014/3/11,9
2014/3/12,11
2014/3/13,9
2014/3/14,5
2014/3/15,4
2014/3/16,8
2014/3/17,4
2014/3/18,7
2014/3/19,45
2014/3/20,4
2014/3/21,16
2014/3/22,7
2014/3/23,3
2014/3/24,2
2014/3/25,12
2014/3/26,9
2014/3/27,6
2014/3/28,5
2014/3/29,7
2014/3/30,3
2014/3/31,4
2014/4/1,6
2014/4/2,2
2014/4/3,11
2014/4/4,7
2014/4/5,13
2014/4/6,8
2014/4/7,2
2014/4/8,8
2014/4/9,10
2014/4/10,8
2014/4/11,7
2014/4/12,6
2014/4/13,5
2014/4/14,8
2014/4/15,6
2014/4/16,6
2014/4/17,14
2014/4/18,6
2014/4/19,12
2014/4/20,7
2014/4/21,5
2014/4/22,3
2014/4/23,13
2014/4/24,5
2014/4/25,17
2014/4/26,2
2014/4/27,8
2014/4/28,9
2014/4/29,10
2014/4/30,5
