日期,辐照度均值,风速均值
1,126.0,1.6625000000000003
2,133.625,1.175
3,144.0,1.4624999999999997
4,146.375,1.1625
5,146.25,1.0125
6,145.125,2.1999999999999997
7,141.875,2.675
8,123.75,2.6375
9,118.375,2.0124999999999997
10,110.875,5.9125
11,123.5,3.225
12,149.25,0.8999999999999999
13,151.5,3.05
14,154.25,3.475
15,155.0,4.0
16,148.75,1.8625000000000003
17,156.125,7.162499999999999
18,131.375,2.675
19,98.5,5.1125
20,162.125,6.175
21,151.875,3.5500000000000007
22,133.0,1.9125
23,165.375,4.662499999999999
24,160.25,1.275
25,166.5,2.8499999999999996
26,167.375,0.725
27,115.875,3.1125000000000003
28,170.375,0.9874999999999999
29,157.25,1.0
30,161.875,1.5375
31,155.25,2.6375
32,175.5,3.3374999999999995
33,178.125,5.0625
34,177.375,1.5
35,174.0,0.85
36,180.25,2.2625
37,116.625,3.4875
38,177.125,0.7875
39,161.125,3.0375000000000005
40,131.125,3.0875
41,193.0,2.0250000000000004
42,199.375,0.8750000000000001
43,172.125,2.5375
44,153.5,1.625
45,194.625,3.125
46,186.625,2.0
47,202.875,2.675
48,207.0,1.4500000000000002
49,203.375,1.3125000000000002
50,190.875,4.0125
51,141.25,3.1375
52,127.25,4.7375
53,180.875,3.2
54,207.875,2.175
55,227.375,7.625
56,231.375,2.2875
57,215.5,3.2249999999999996
58,216.5,6.425000000000001
59,235.375,2.7375
60,219.125,1.725
61,223.25,3.2749999999999995
62,206.0,3.9750000000000005
63,204.125,6.2
64,237.75,2.7125
65,230.25,3.0875
66,238.875,3.0875
67,223.0,3.9499999999999993
68,128.125,3.1625
69,173.25,5.574999999999999
70,152.0,5.1375
71,188.125,2.725
72,211.375,1.55
73,245.0,2.5125
74,268.5,1.5374999999999999
75,262.375,2.65
76,223.75,3.6875
77,262.5,4.999999999999999
78,270.625,2.8625
79,231.0,3.1500000000000004
80,259.625,2.6874999999999996
81,258.0,8.6
82,238.125,3.1875
83,288.25,8.0
84,288.375,5.675
85,285.875,4.5
86,283.625,2.1999999999999997
87,238.875,4.300000000000001
88,288.5,4.0625
89,298.875,3.7124999999999995
90,288.625,2.1624999999999996
91,194.875,2.1125000000000003
92,235.125,2.25
93,265.625,2.5875000000000004
94,301.125,2.7375
95,293.25,1.8625
96,223.0,4.9125000000000005
97,237.875,4.725
98,233.5,4.5
99,218.5,3.2
100,222.875,3.2625
101,274.125,6.1375
102,291.875,5.8125
103,247.625,2.125
104,255.375,4.2625
105,287.375,6.375
106,318.0,7.9624999999999995
107,290.375,3.2750000000000004
108,288.0,7.55
109,317.375,3.6500000000000004
110,288.75,4.7625
111,307.125,3.4875000000000003
112,323.375,2.225
113,280.375,3.775
114,190.5,5.275
115,140.5,4.7
116,300.125,3.175
117,322.625,1.5875000000000001
118,321.375,1.7125
119,301.25,4.5
120,331.5,3.7624999999999997
121,194.625,6.0874999999999995
122,326.5,8.174999999999999
123,344.375,4.5125
124,223.625,5.1375
125,318.625,4.4
126,301.625,4.387499999999999
127,319.25,2.375
128,308.25,2.575
129,224.75,2.525
130,297.625,2.8499999999999996
131,338.5,1.7000000000000002
132,200.25,3.6875
133,310.625,5.7875000000000005
134,317.125,3.1499999999999995
135,331.0,3.0875000000000004
136,342.25,3.075
137,349.125,3.7874999999999996
138,339.75,3.5625
139,294.0,5.65
