Date,Consumption,Wind,Solar
2012/1/1,948.128,227.465,6.587
2012/1/2,1269.581,207.327,6.574
2012/1/3,1334.745,473.468,24.679
2012/1/4,1347.136,499.804,14.681
2012/1/5,1376.658,523.851,5.071
2012/1/6,1291.215,286.265,13.16
2012/1/7,1175.688,368.288,4.115
2012/1/8,1103.383,220.851,8.44
2012/1/9,1443.371,151.837,5.264
2012/1/10,1434.631,175.995,17.827
2012/1/11,1449.768,197.434,10.849
2012/1/12,1442.448,446.327,18.023
2012/1/13,1403.402,415.106,18.778
2012/1/14,1203.165,174.69,26.772
2012/1/15,1150.92,34.468,36.609
2012/1/16,1487.782,52.345,39.682
2012/1/17,1518.074,76.43,31.036
2012/1/18,1498.809,225.266,40.924
2012/1/19,1470.066,282.584,3.885
2012/1/20,1448.554,245.754,15.022
2012/1/21,1242.307,344.898,3.191
2012/1/22,1120.283,418.173,8.993
2012/1/23,1454.47,115.608,11.676
2012/1/24,1493.954,32.889,14.718
2012/1/25,1498.37,48.451,27.116
2012/1/26,1483.586,203.965,39.336
2012/1/27,1458.967,90.621,12.284
2012/1/28,1256.093,27.172,9.698
2012/1/29,1149.243,78.807,9.114
2012/1/30,1454.17,185.983,21.558
2012/1/31,1485.711,208.673,32.078
2012/2/1,1511.866,199.607,43.502
2012/2/2,1563.407,73.469,44.675
2012/2/3,1563.631,36.352,46.51
2012/2/4,1372.614,20.551,45.225
2012/2/5,1279.432,55.522,54.572
2012/2/6,1574.766,34.896,55.389
2012/2/7,1615.078,100.312,19.867
2012/2/8,1613.774,93.763,36.93
2012/2/9,1591.532,132.219,19.042
2012/2/10,1581.287,52.122,34.873
2012/2/11,1377.404,32.375,44.629
2012/2/12,1264.254,62.659,45.176
2012/2/13,1561.987,25.984,11.287
2012/2/14,1550.366,146.495,9.61
2012/2/15,1476.037,413.367,18.877
2012/2/16,1504.119,130.247,38.176
2012/2/17,1438.857,196.515,17.328
2012/2/18,1236.069,237.889,26.248
2012/2/19,1107.431,272.655,30.382
2012/2/20,1401.873,160.315,53.794
2012/2/21,1434.533,281.909,57.984
2012/2/22,1453.507,287.635,74.904
2012/2/23,1427.402,353.51,18.927
2012/2/24,1373.8,382.777,29.281
2012/2/25,1133.184,302.102,42.667
2012/2/26,1086.743,95.234,37.214
2012/2/27,1436.095,86.956,43.099
2012/2/28,1408.211,231.923,16.19
2012/2/29,1434.062,77.024,30.36
2012/3/1,1411.553,62.293,40.042
2012/3/2,1402.006,39.972,38.665
2012/3/3,1186.275,107.629,55.38
2012/3/4,1072.078,80.685,32.054
2012/3/5,1388.816,154.206,32.907
2012/3/6,1433.166,61.69,83.002
2012/3/7,1455.451,157.059,75.157
2012/3/8,1412.181,150.182,44.725
2012/3/9,1399.515,126.102,92.597
2012/3/10,1153.172,216.614,59.995
2012/3/11,1042.487,200.788,22.692
2012/3/12,1347.463,194.245,37.298
2012/3/13,1391.174,119.98,31.899
2012/3/14,1403.836,65.823,56.3
2012/3/15,1411.75,24.083,100.78
2012/3/16,1365.107,74.494,111.971
2012/3/17,1156.49,74.31,95.086
2012/3/18,1062.459,162.956,58.994
2012/3/19,1323.263,159.868,75.965
2012/3/20,1377.97,145.134,109.882
2012/3/21,1382.409,53.161,106.847
2012/3/22,1390.429,40.73,116.147
2012/3/23,1359.065,20.328,114.221
2012/3/24,1150.784,25.567,106.528
2012/3/25,1026.274,51.936,122.306
2012/3/26,1330.815,31.232,123.155
2012/3/27,1337.854,105.519,117.978
2012/3/28,1310.033,204.92,124.795
2012/3/29,1290.457,375.829,66.031
2012/3/30,1277.08,374.948,35.938
2012/3/31,1085.784,366.241,57.56
2012/4/1,1115.065,249.075,123.877
2012/4/2,1370.145,146.464,98.851
2012/4/3,1340.124,58.51,98.814
2012/4/4,1391.355,113.717,62.194
2012/4/5,1356.529,46.721,41.681
2012/4/6,1095.619,75.98,50.362
2012/4/7,1048.47,189.306,56.917
2012/4/8,927.223,59.544,93.379
2012/4/9,1030.772,208.754,57.225
2012/4/10,1349.738,198.653,87.841
2012/4/11,1398.856,51.131,54.584
2012/4/12,1288.302,20.678,86.319
2012/4/13,1292.923,26.534,87.459
2012/4/14,1222.985,36.079,88.042
2012/4/15,1166.63,149.303,54.789
2012/4/16,1419.061,164.217,70.576
2012/4/17,1414.206,121.871,123.51
2012/4/18,1440.052,124.69,87.082
2012/4/19,1418.122,92.252,112.086
2012/4/20,1393.302,42.379,91.006
2012/4/21,1214.49,92.366,99.61
2012/4/22,1063.047,89.137,87.018
2012/4/23,1310.91,93.296,106.431
2012/4/24,1320.723,74.549,67.324
2012/4/25,1361.395,154.065,111.891
2012/4/26,1427.093,246.672,97.57
2012/4/27,1400.451,94.387,118.984
2012/4/28,1176.568,120.519,139.732
2012/4/29,1029.079,146.995,85.825
2012/4/30,1149.575,107.085,132.319
2012/5/1,987.135,97.453,145.855
2012/5/2,1342.821,87.211,142.476
2012/5/3,1388.235,40.688,118.947
2012/5/4,1358.086,62.373,140.705
2012/5/5,1131.952,51.582,70.418
2012/5/6,1044.236,29.245,65.151
2012/5/7,1359.119,16.205,94.13
2012/5/8,1354.063,84.137,143.577
2012/5/9,1375.723,97.102,97.601
2012/5/10,1377.249,162.854,135.201
2012/5/11,1339.914,214.08,131.504
2012/5/12,1086.144,234.305,92.039
2012/5/13,1026.929,48.934,139.258
2012/5/14,1334.738,90.154,167.271
2012/5/15,1371.732,92.488,119.739
2012/5/16,1331.02,218.675,103.286
2012/5/17,1026.276,102.796,161.216
2012/5/18,1172.391,132.916,131.215
2012/5/19,1093.637,42.846,151.077
2012/5/20,1020.247,76.299,155.399
2012/5/21,1327.358,121.186,127.468
2012/5/22,1377.557,85.312,142.533
2012/5/23,1389.264,98.283,143.103
2012/5/24,1369.164,144.02,167.993
2012/5/25,1333.026,106.146,189.252
2012/5/26,1112.973,65.694,187.619
2012/5/27,960.155,23.349,138.597
2012/5/28,988.853,36.311,151.315
2012/5/29,1308.959,115.003,155.356
2012/5/30,1360.133,55.879,131.747
2012/5/31,1371.961,57.814,105.132
2012/6/1,1245.228,221.362,95.347
2012/6/2,1050.443,121.44,135.864
2012/6/3,1004.252,44.17,63.568
2012/6/4,1309.374,59.878,86.217
2012/6/5,1297.404,86.301,119
2012/6/6,1315.237,63.311,85.52
2012/6/7,1112.364,46.993,119.729
2012/6/8,1183.864,149.622,107.792
2012/6/9,1051.796,206.779,132.212
2012/6/10,984.376,59.018,113.54
2012/6/11,1326.483,21.939,111.819
2012/6/12,1343.234,36.683,103.699
2012/6/13,1326.28,60.34,94.355
2012/6/14,1336.51,17.666,125.229
2012/6/15,1319.754,70.26,131.695
2012/6/16,1104.877,107.732,130.567
2012/6/17,978.189,124.855,144.327
2012/6/18,1295.526,147.265,154.441
2012/6/19,1359.305,23.53,137.322
2012/6/20,1361.987,50.944,74.925
2012/6/21,1367.348,60.363,114.209
2012/6/22,1288.989,139.503,151.003
2012/6/23,1074.347,119.951,154.13
2012/6/24,966.313,194.586,118.912
2012/6/25,1239.681,282.34,117.876
2012/6/26,1280.592,173.629,133.302
2012/6/27,1355.332,46.729,118.711
2012/6/28,1352.232,44.803,148.484
2012/6/29,1328.236,62.862,143.348
2012/6/30,1109.917,41.056,161.58
2012/7/1,980.695,86.751,90.8
2012/7/2,1305.601,29.88,85.774
2012/7/3,1351.059,13.989,93.205
2012/7/4,1357.488,32.237,144.079
2012/7/5,1358.012,60.654,128.246
2012/7/6,1320.339,37.26,113.291
2012/7/7,1088.072,21.722,120.097
2012/7/8,979.263,102.489,129.69
2012/7/9,1277.879,184.585,132.026
2012/7/10,1335.8,63.672,138.975
2012/7/11,1308.424,119.022,114.564
2012/7/12,1270.422,158.374,115.136
2012/7/13,1279.65,80.134,80.366
2012/7/14,1044.088,154.526,111.911
2012/7/15,963.849,81.986,113.272
2012/7/16,1244.002,167.532,116.698
2012/7/17,1283.296,147.874,93.429
2012/7/18,1311.236,138.815,124.825
2012/7/19,1260.459,255.453,105.139
2012/7/20,1254.104,114.903,88.115
2012/7/21,1036.902,78.814,99.942
2012/7/22,955.195,29.08,142.052
2012/7/23,1264.464,61.45,183.983
2012/7/24,1298.041,53.431,175.347
2012/7/25,1315.315,25.314,137.746
2012/7/26,1324.677,30.718,157.008
2012/7/27,1315.591,48.153,159.008
2012/7/28,1068.831,66.337,89.817
2012/7/29,946.804,66.075,99.148
2012/7/30,1226.413,85.451,134.721
2012/7/31,1275.594,37.241,128.371
2012/8/1,1281.36,54.994,170.637
2012/8/2,1273.384,76.201,134.865
2012/8/3,1252.979,27.344,125.599
2012/8/4,1052.731,23.475,130.924
2012/8/5,970.34,19.899,115.923
2012/8/6,1218.308,120.776,86.424
2012/8/7,1195.361,186.065,97.645
2012/8/8,1232.55,73.492,128.004
2012/8/9,1251.813,45.277,125.946
2012/8/10,1220.577,47.461,122.653
2012/8/11,1027.19,34.149,133.25
2012/8/12,949.652,85.684,164.407
2012/8/13,1234.586,96.343,158.279
2012/8/14,1269.779,64.136,153.658
2012/8/15,1255.451,92.333,150.382
2012/8/16,1287.796,34.536,85.779
2012/8/17,1266.992,20.892,149.786
2012/8/18,1070.076,68.438,161.008
2012/8/19,992.062,57.993,158.447
2012/8/20,1322.886,66.484,136.485
2012/8/21,1367.368,20.659,127.859
2012/8/22,1314.675,143.3,128.809
2012/8/23,1314.028,61.385,144.194
2012/8/24,1306.214,30.648,63.245
2012/8/25,1072.07,115.102,103.898
2012/8/26,927.762,227.026,93.021
2012/8/27,1264.911,70.863,144.41
2012/8/28,1309.94,68.393,115.037
2012/8/29,1330.271,37.135,115.197
2012/8/30,1323.241,33.321,61.561
2012/8/31,1306.101,67.109,51.478
2012/9/1,1103.823,38.744,73.055
2012/9/2,1020.169,35.317,94.999
2012/9/3,1345.341,19.479,89.052
2012/9/4,1370.644,33.386,126.598
2012/9/5,1361.157,64.503,84.097
2012/9/6,1350.542,87.273,113.908
2012/9/7,1310.044,139.231,128.135
2012/9/8,1109.45,56.865,129.656
2012/9/9,1011.163,61.961,144.815
2012/9/10,1351.87,80.469,129.845
2012/9/11,1380.72,106.166,90.839
2012/9/12,1367.123,59.783,50.344
2012/9/13,1366.306,31.514,93.104
2012/9/14,1294.812,259.902,114.898
2012/9/15,1089.12,123.985,67.424
2012/9/16,1010.707,75.964,138.039
2012/9/17,1353.3,70.962,108.937
2012/9/18,1376.469,108.252,111.491
2012/9/19,1354.591,119.158,88.154
2012/9/20,1368.341,91.06,119.599
2012/9/21,1341.184,83.411,108.905
2012/9/22,1079.106,152.547,68.222
2012/9/23,1031.124,73.522,92.53
2012/9/24,1336.021,260.9,52.526
2012/9/25,1361.29,161.211,80.053
2012/9/26,1383.048,80.452,69.451
2012/9/27,1349.666,148.215,69.788
2012/9/28,1330.229,135.964,99.015
2012/9/29,1104.096,151.127,62.093
2012/9/30,1011.473,112.1,96.39
2012/10/1,1336.346,84.262,67.678
2012/10/2,1341.518,92.795,93.685
2012/10/3,1050.358,193.172,80.507
2012/10/4,1295.24,201.346,32.022
2012/10/5,1301.788,294.49,49.942
2012/10/6,1113.446,154.938,66.6
2012/10/7,1027.417,171.56,61.118
2012/10/8,1375.652,92.568,91.612
2012/10/9,1361.404,157.111,55.154
2012/10/10,1384.403,65.638,58.662
2012/10/11,1397.344,57.024,79.517
2012/10/12,1372.991,176.347,37.393
2012/10/13,1121.499,156.457,82.872
2012/10/14,1047.719,126.81,61.109
2012/10/15,1380.24,137.071,25.597
2012/10/16,1413.963,201.362,84.46
2012/10/17,1388.308,167.088,74.323
2012/10/18,1381.724,155.672,83.526
2012/10/19,1375.547,90.76,93.02
2012/10/20,1168.811,45.203,76.978
2012/10/21,1060.869,55.262,66.725
2012/10/22,1405.445,46.393,40.382
2012/10/23,1441.192,22.802,21.399
2012/10/24,1448.872,6.511,24.754
2012/10/25,1403.636,132.831,33.74
2012/10/26,1404.185,60.856,33.863
2012/10/27,1164.625,106.14,23.867
2012/10/28,1099.838,58.526,42.338
2012/10/29,1424.552,197.507,38.387
2012/10/30,1435.027,85.701,28.748
2012/10/31,1355.282,139.938,78.264
2012/11/1,1203.44,210.011,39.264
2012/11/2,1279.542,265.631,53.529
2012/11/3,1159.109,177.733,40.342
2012/11/4,1083.503,134.767,39.01
2012/11/5,1395.877,169.791,30.928
2012/11/6,1413.766,237.431,41.647
2012/11/7,1396.033,350.668,12.582
2012/11/8,1433.24,265.225,28.366
2012/11/9,1440.597,93.936,46.927
2012/11/10,1199.434,124.796,14.87
2012/11/11,1092.889,103.796,12.474
2012/11/12,1438.307,86.022,22.594
2012/11/13,1473.801,66.407,49.625
2012/11/14,1476.42,38.975,37.485
2012/11/15,1502.454,9.939,23.553
2012/11/16,1477.412,17.42,18.569
2012/11/17,1222.197,70.995,30.54
2012/11/18,1129.849,26.863,22.562
2012/11/19,1455.709,57.051,31.021
2012/11/20,1489.107,68.824,16.956
2012/11/21,1470.526,138.909,24.365
2012/11/22,1459.517,163.918,30.971
2012/11/23,1437.137,151.645,22.02
2012/11/24,1231.409,46.389,26.24
2012/11/25,1079.007,361.542,30.175
2012/11/26,1428.538,136.14,17.684
2012/11/27,1485.639,41.651,10.596
2012/11/28,1497.182,35.352,6.598
2012/11/29,1451.572,173.696,4.901
2012/11/30,1451.958,61.722,16.812
2012/12/1,1243.897,97.66,18.084
2012/12/2,1151.585,63.02,8.789
2012/12/3,1484.956,142.974,13.421
2012/12/4,1469.941,257.595,9.724
2012/12/5,1507.404,111.197,15.454
2012/12/6,1502.183,170.551,13.026
2012/12/7,1519.663,124.988,12.946
2012/12/8,1301.548,42.738,15.514
2012/12/9,1156.396,302.536,5.943
2012/12/10,1515.692,198.226,4.487
2012/12/11,1520.748,135.903,5.715
2012/12/12,1566.704,44.771,7.319
2012/12/13,1554.672,71.046,7.62
2012/12/14,1468.353,222.317,6.415
2012/12/15,1220.238,207.756,10.427
2012/12/16,1132.311,116.814,13.838
2012/12/17,1441.662,46.772,12.489
2012/12/18,1460.691,21.142,11.398
2012/12/19,1441.022,18.254,11.011
2012/12/20,1380.22,188.807,17.17
2012/12/21,1317.366,148.144,6.018
2012/12/22,1136.842,116.165,10.184
2012/12/23,1031.437,256.785,4.071
2012/12/24,990.706,239.102,26.68
2012/12/25,899.827,309.542,22.342
2012/12/26,909.618,331.664,17.098
2012/12/27,1068.617,302.195,13.111
2012/12/28,1109.424,152.562,24.007
2012/12/29,1014.55,294.502,38.122
2012/12/30,936.786,412.921,27.255
2012/12/31,969.81,446.492,25.097
2013/1/1,906.91,262.438,14.218
2013/1/2,1160.174,224.867,26.01
2013/1/3,1199.565,387.143,6.058
2013/1/4,1198.952,342.443,4.976
2013/1/5,1108.271,140.41,4.97
2013/1/6,1035.316,154.668,4.634
2013/1/7,1364.084,30.297,13.157
2013/1/8,1397.75,75.277,9.969
2013/1/9,1408.435,119.894,10.947
2013/1/10,1388.447,165.976,9.919
2013/1/11,1390.838,63.7,21.582
2013/1/12,1192.418,33.461,20.777
2013/1/13,1112.38,40.547,14.552
2013/1/14,1441.257,35.342,6.421
2013/1/15,1476.054,33.946,15.377
2013/1/16,1480.289,18.155,4.583
2013/1/17,1471.693,49.389,1.974
2013/1/18,1451.346,100.481,1.968
2013/1/19,1236.529,160.448,3.311
2013/1/20,1162.583,185.719,4.096
2013/1/21,1437.83,205.819,2.483
2013/1/22,1485.679,68.172,3.581
2013/1/23,1504.134,21.945,12.356
2013/1/24,1510.717,22.474,5.79
2013/1/25,1492.223,45.723,8.451
2013/1/26,1246.039,167.507,13.496
2013/1/27,1140.584,237.773,10.153
2013/1/28,1410.84,225.44,21.711
2013/1/29,1411.595,381.577,10.387
2013/1/30,1377.521,481.636,18.132
2013/1/31,1356.59,535.456,41.139
2013/2/1,1379.097,214.528,12.716
2013/2/2,1188.274,176.115,21.702
2013/2/3,1109.639,251.234,19.923
2013/2/4,1376.753,370.033,12.065
2013/2/5,1400.332,295.974,28.417
2013/2/6,1451.449,100.776,31.005
2013/2/7,1457.147,53.56,18.073
2013/2/8,1433.098,31.622,14.591
2013/2/9,1227.672,14.191,17.025
2013/2/10,1130.246,80.717,43.27
2013/2/11,1376.736,228.319,42.28
2013/2/12,1439.26,69.858,16.312
2013/2/13,1480.401,14.674,23.397
2013/2/14,1481.417,119.019,41.343
2013/2/15,1448.322,33.536,19.482
2013/2/16,1216.025,6.593,16.205
2013/2/17,1127.834,7.142,21.564
2013/2/18,1406.563,29.527,34.831
2013/2/19,1399.59,154.24,19.467
2013/2/20,1416.314,118.615,27.429
2013/2/21,1454.188,87.146,36.575
2013/2/22,1416.7,133.815,30.355
2013/2/23,1216.535,228.057,13.407
2013/2/24,1126.914,131.605,11.171
2013/2/25,1420.191,112.073,15.785
2013/2/26,1450.488,57.125,15.729
2013/2/27,1461.837,14.293,21.571
2013/2/28,1421.426,55.735,24.174
2013/3/1,1372.02,93.148,27.875
2013/3/2,1143.686,111.234,84.945
2013/3/3,1062.452,113.621,82.995
2013/3/4,1364.964,82.067,130.413
2013/3/5,1359.027,84.992,132.054
