时间,,地区,变电站名称,变电站电压等级,主变名称,油温(℃),有功值(MW),无功值(MW),电流值(A),母线名称,母线电压(kV),温度(℃),湿度(%),气压(Pa),10分钟最大风速(m/s),最大风速时风向,雨量(mm)
2019/1/1 0:00,2019,X地市,X01变电站,110kV,1号主变,27.3955,14.04739,1.387148,69.489525,110kVⅠ段母线,117.8489,2.7,70,1038.7,4.2,16,0
2019/1/1 0:10,2019,X地市,X01变电站,110kV,1号主变,27.248505,13.449308,1.246423,67.093338,110kVⅠ段母线,117.03476,2.7,69,1038.7,3.4,20,0
2019/1/1 0:20,2019,X地市,X01变电站,110kV,1号主变,27.101501,12.921589,1.166009,64.565247,110kVⅠ段母线,117.075058,2.7,69,1038.6,3.4,20,0
2019/1/1 0:30,2019,X地市,X01变电站,110kV,1号主变,26.954498,12.695424,1.160983,63.400124,110kVⅠ段母线,117.26046,2.7,68,1038.6,4.1,12,0
2019/1/1 0:40,2019,X地市,X01变电站,110kV,1号主变,26.880997,12.398895,1.130828,61.795341,110kVⅠ段母线,117.30883,2.7,68,1038.6,4.1,12,0
2019/1/1 0:50,2019,X地市,X01变电站,110kV,1号主变,26.734001,12.067186,1.125802,59.772865,110kVⅠ段母线,117.655441,2.6,69,1038.6,4.1,12,0
2019/1/1 1:00,2019,X地市,X01变电站,110kV,1号主变,26.219505,11.981745,1.367045,59.135349,110kVⅠ段母线,117.582886,2.6,70,1038.7,4.1,24,0
2019/1/1 1:10,2019,X地市,X01变电站,110kV,1号主变,26.293007,11.604803,1.291656,57.64048,110kVⅠ段母线,117.663498,2.6,71,1038.9,3.1,353,0
2019/1/1 1:20,2019,X地市,X01变电站,110kV,1号主变,26.146004,11.358534,1.276579,56.475357,110kVⅠ段母线,117.623199,2.6,71,1039,3.4,3,0
2019/1/1 1:30,2019,X地市,X01变电站,110kV,1号主变,25.999001,11.22786,1.291656,55.639988,110kVⅠ段母线,117.824715,2.5,72,1039.1,3.4,3,0
2019/1/1 1:40,2019,X地市,X01变电站,110kV,1号主变,25.852005,11.026825,1.316786,54.892551,110kVⅠ段母线,117.800537,NULL,NULL,NULL,NULL,NULL,NULL
2019/1/1 1:50,2019,X地市,X01变电站,110kV,1号主变,25.778503,10.815737,1.28663,53.727432,110kVⅠ段母线,117.881142,2.4,72,1039.1,3.6,346,0
2019/1/1 2:00,2019,X地市,X01变电站,110kV,1号主变,25.6315,10.649881,1.236371,52.738182,110kVⅠ段母线,117.865021,2.4,71,1039.1,4.3,347,0
2019/1/1 2:10,2019,X地市,X01变电站,110kV,1号主变,25.411003,10.388535,1.160983,51.880825,110kVⅠ段母线,117.985931,2.3,71,1039.1,3,356,0
2019/1/1 2:20,2019,X地市,X01变电站,110kV,1号主变,25.337502,10.368431,1.196164,51.265289,110kVⅠ段母线,117.95369,2.3,69,1039,3.9,10,0
2019/1/1 2:30,2019,X地市,X01变电站,110kV,1号主变,25.116997,10.227707,1.176061,50.561821,110kVⅠ段母线,118.10685,2.3,69,1038.9,4.1,11,0
2019/1/1 2:40,2019,X地市,X01变电站,110kV,1号主变,24.970001,10.006567,1.176061,49.726452,110kVⅠ段母线,118.026237,2.2,68,1038.9,4.4,357,0
