CONS_NO,CHK_STATE
5704295457,1
4834620022,1
7144637903,1
5271911370,1
1167938250,1
4445003016,1
5581510065,1
7687010094,1
5114150055,1
2035062657,1
7620507032,1
2714013141,1
3698355157,1
9501012180,1
4427150250,1
9347970357,1
7225450055,1
4748901170,1
2048908250,1
8475928250,1
7140089100,1
9178908250,1
2662096020,1
623122470,1
7557004300,1
6469910055,1
6937462557,1
2931008466,1
4611000094,1
5416002016,1
9147998250,1
2496706090,1
8713118064,1
3702720160,1
1313000666,1
7020510065,1
7497204157,1
4983020211,1
558660315,1
4048908250,1
6223700160,1
7004204157,1
6551910022,1
4320325270,1
1732600060,1
3510706657,1
4953020052,1
1192020022,1
8424908250,1
720126657,1
6571364383,1
6855003016,1
3581510065,1
8357340055,1
6758908250,1
8973970357,1
7788908250,1
3441224441,1
2228958250,1
9354311061,1
4223002210,1
3924099140,1
7657350055,1
7952189541,1
4574982357,1
1961414383,1
5156510060,1
8003489257,1
8591412257,1
8041500372,1
9950981270,1
5793040211,1
5722752373,1
115102210,1
8477110022,1
617718257,1
8329908250,1
8004777557,1
7958116557,1
9323920065,1
4808420281,1
4011142141,1
2793968250,1
4636618457,1
6089720055,1
3373620022,1
1917004300,1
231131635,1
2531080211,1
7888420065,1
273037735,1
7009951,1
8546920085,1
1371930055,1
4760801457,1
7523950055,1
5190513100,1
2284330015,1
5819110065,1
6850938250,1
932089110,1
42034635,1
3194908250,1
4535006075,1
3391060250,1
832105535,1
2167938250,1
4374103116,1
432440250,1
9000083666,1
806450055,1
8100704032,1
7820367020,1
739908250,1
7391220022,1
7378908250,1
4241903141,1
9658908250,1
7412115241,1
5295440055,1
2200750541,1
7158908250,1
6252476020,1
9400118032,1
6609600140,1
3100939250,1
6295100005,1
439154457,1
5520527341,1
1969948250,1
9203070770,1
9038589100,1
8110800626,1
9329908250,1
6511089570,1
8549908250,1
2980922373,1
9900014032,1
3244205535,1
5113235341,1
907032635,1
756410160,1
7862105535,1
173036635,1
6794511370,1
7700948250,1
5233100023,1
3990011203,1
1949908250,1
8306236141,1
9625910055,1
1748908250,1
4918701203,1
6120325270,1
9044862357,1
6334510065,1
7164122757,1
8985948250,1
8763750055,1
3763955457,1
5271196020,1
5212510094,1
7946417657,1
8883989541,1
2878968250,1
714848457,1
6078940055,1
8752620022,1
61412257,1
2312809241,1
9729908250,1
7836060250,1
9096710094,1
9075510022,1
4944399535,1
3696513100,1
689120055,1
6878181357,1
4525240457,1
973031635,1
8142030022,1
53629036,1
8952112800,1
457610085,1
9620510094,1
5690220022,1
6348908250,1
5329928250,1
6412810085,1
9868137457,1
199948250,1
8007069541,1
7196399110,1
2155010094,1
6020968250,1
2419908250,1
4151405160,1
1663310022,1
1915000211,1
1774289057,1
163833635,1
1086220076,1
213102210,1
3108810085,1
3505319535,1
6621156441,1
433800457,1
4314011570,1
4491532373,1
7291300180,1
716587657,1
7022203571,1
332910022,1
8920220270,1
532633135,1
2717437157,1
632234635,1
4199948250,1
9895730357,1
3294205160,1
930931635,1
8042099140,1
628000180,1
3307519190,1
3890041800,1
6790116020,1
2190150250,1
929936635,1
325435635,1
1800058250,1
4331154074,1
5130507032,1
841305160,1
5501706341,1
9736010085,1
1578908250,1
3588908250,1
2802910022,1
9866720160,1
8476122400,1
3587169345,1
5286020022,1
2559948250,1
849969157,1
7792810215,1
3220120055,1
6421099500,1
547918250,1
3924908250,1
6431703141,1
4361205535,1
8078610065,1
500932635,1
7329908250,1
393400751,1
4641417357,1
9763066020,1
511776441,1
8402600322,1
4439948250,1
7914712160,1
6584710557,1
7040928250,1
6889948250,1
8977020052,1
9185096020,1
5598908250,1
985440055,1
4720103016,1
1578024357,1
6029004383,1
2775908250,1
5427206304,1
8165103016,1
820923300,1
8422920085,1
9023908250,1
9952813300,1
8039948250,1
1534550557,1
1558908250,1
1775010052,1
6975530250,1
1486820055,1
8863968250,1
6823020211,1
9601410557,1
356310085,1
3412900851,1
7042101052,1
7042205535,1
9639948250,1
7111903141,1
713804033,1
8722021670,1
2942005082,1
1265103016,1
9063041052,1
9410017057,1
478031735,1
1151903141,1
8759101203,1
8120910055,1
1845620022,1
9107130681,1
4796209393,1
6210840170,1
6688602400,1
1336710076,1
9194631157,1
7934000211,1
4100283257,1
3842010052,1
9731435341,1
8314369535,1
1410907032,1
7831320055,1
8001736141,1
3906003116,1
6320704032,1
5230812290,1
4729245357,1
6760005084,1
3862103116,1
76032635,1
5035620022,1
1133555557,1
3025430160,1
8401020380,1
2934810085,1
8710507032,1
6702200065,1
636031800,1
7881099210,1
4629908250,1
5222010085,1
1913300751,1
8000027064,1
7207205535,1
4526001457,1
410010052,1
1076840055,1
422396657,1
5044200545,1
4330507032,1
5337529257,1
5028957457,1
662232635,1
8512103016,1
3232310022,1
9013041321,1
5130220022,1
1940000466,1
5021043800,1
8206015057,1
831208075,1
3008089745,1
6119110055,1
8066960250,1
9452103116,1
5783003016,1
9751990657,1
7993112800,1
5721101270,1
7629131800,1
3777020022,1
9758908250,1
3589948250,1
1308161457,1
8869191257,1
2201786441,1
3970349445,1
8270532373,1
33630435,1
6988613357,1
6055330065,1
1483700023,1
2020550055,1
2372918250,1
3204546064,1
163336035,1
9925620022,1
4003260357,1
1120404032,1
8820292557,1
8455011052,1
9675763557,1
8361071457,1
524262157,1
6707220055,1
3288908250,1
4738350457,1
6917399700,1
405510065,1
4484040055,1
7006020022,1
1113110065,1
302212470,1
7996022270,1
6314054074,1
5607320055,1
1431505160,1
5040507032,1
3941006084,1
8066031800,1
2204002270,1
5680500036,1
1372018180,1
4948005535,1
2756086457,1
5923030065,1
3631935,1
4657720055,1
7257812257,1
8788710160,1
2410112100,1
5750109032,1
4710150250,1
5554720055,1
6421154074,1
6330052180,1
96750557,1
1903610065,1
803036635,1
5538132557,1
9930040211,1
5980110052,1
9667460250,1
855035735,1
2596450250,1
4613374457,1
1148320055,1
8209008016,1
3584202210,1
8299420022,1
7220707032,1
9889750457,1
4272472373,1
4176433300,1
4872031800,1
9618403157,1
8904186020,1
8687052657,1
8587011052,1
2311928250,1
7592006001,1
4368908250,1
7215620541,1
5143816341,1
8261537172,1
5791730250,1
2793557057,1
9268908250,1
2073410022,1
8373810160,1
361834635,1
582937635,1
8023005366,1
9788908250,1
4092150541,1
9858110055,1
2505037354,1
7222500051,1
7537998250,1
8343989541,1
551004043,1
7175958250,1
1979810055,1
7221009012,1
8364093557,1
4632001321,1
3804001043,1
850200094,1
8162958250,1
6873066020,1
9104041052,1
8250105160,1
5321220085,1
5040109032,1
732411370,1
3939908250,1
4412003016,1
159030735,1
7509650055,1
633831635,1
9106010052,1
5234020065,1
2897249357,1
5460004043,1
3239948250,1
1386112800,1
3922065357,1
4638440055,1
3732820055,1
6224189541,1
3762644457,1
271085334,1
7006641013,1
4776001061,1
1468141800,1
6616081657,1
2281249020,1
8272918250,1
4360948250,1
816830635,1
1472005084,1
8901503241,1
634260250,1
292928250,1
7735050055,1
4642511370,1
9741319057,1
4856300051,1
6231000112,1
2309100094,1
3297433400,1
9683587354,1
7621156441,1
9191100636,1
142820055,1
449132635,1
1515310055,1
1024903141,1
9802031800,1
7072089745,1
4243730055,1
5611307354,1
5207103016,1
8068908250,1
7711035970,1
8610700626,1
8235010557,1
5239004100,1
5165461457,1
5194141800,1
8101725341,1
4396212557,1
3019933657,1
1990041800,1
6522816341,1
6073003016,1
582038735,1
243134635,1
3638641157,1
1517179172,1
5943372373,1
1112112800,1
6662692557,1
4910599357,1
7206310022,1
5367014257,1
7884512160,1
2696003052,1
5717710160,1
8858703357,1
6486190315,1
220036635,1
5006131300,1
9893021800,1
2589948250,1
5232710085,1
502635635,1
4806948250,1
2071067354,1
2881330065,1
4180706090,1
6615022270,1
683720055,1
2799948250,1
7864271557,1
6298159145,1
2398103571,1
6131399300,1
4600733666,1
41514032,1
2222010085,1
6086109393,1
7901503241,1
871431735,1
401032635,1
9015102210,1
2332910022,1
8003614241,1
3524958250,1
4652040052,1
3493007025,1
6641924383,1
6524119657,1
4140220211,1
6659316657,1
2084086020,1
837720055,1
4583102210,1
3302911370,1
5916940315,1
3722519241,1
8025011052,1
9399310457,1
3111011570,1
8008357157,1
4967200515,1
7775108116,1
62038735,1
9714332557,1
3167830250,1
9179928250,1
1308103571,1
672130635,1
8639948250,1
4285720055,1
5908410060,1
9263908250,1
7270668257,1
4289103116,1
537038735,1
1829908250,1
6077120055,1
8050962657,1
8040309016,1
5631020324,1
9543532373,1
4925108016,1
7446079100,1
8598908250,1
2371111052,1
435620022,1
6513703141,1
7913058330,1
9202764383,1
9957020022,1
378030735,1
7325005074,1
4058908250,1
7395139357,1
7500079075,1
7294041052,1
5920910055,1
9473500322,1
5862810060,1
7134080052,1
7943830015,1
7681820055,1
6265010052,1
8472005043,1
3553079657,1
8817004300,1
8764800140,1
7465138057,1
405020381,1
7958220085,1
2285671357,1
1112220022,1
6162020211,1
9366840015,1
7011810022,1
9151003370,1
8284010052,1
5572050250,1
280221757,1
3732000666,1
9141010052,1
8104927441,1
7121500180,1
328948250,1
198908250,1
2017811141,1
2683989357,1
9449908250,1
7032498157,1
9353742357,1
2986069300,1
5463131800,1
6918005535,1
8065351457,1
6343700316,1
7069250055,1
8067938250,1
204030635,1
8307998250,1
375289657,1
7461938250,1
9831505160,1
4013120141,1
747014383,1
5958640557,1
4573181757,1
8227938250,1
571631157,1
7327320055,1
9762000112,1
5115304157,1
4150503666,1
7459201043,1
8830999057,1
2510056140,1
5989510094,1
7074968250,1
6197711370,1
9401010052,1
5563540055,1
5529131800,1
5988908250,1
6650109032,1
448976657,1
2266460250,1
4729908250,1
3107030381,1
4453200315,1
812835635,1
5510010052,1
6836597160,1
4348736357,1
8305830250,1
4000420055,1
4900619032,1
2278100065,1
3501281457,1
242733635,1
460583314,1
662002012,1
3230619032,1
7527720670,1
262232635,1
8547099100,1
2610968250,1
1801041557,1
4131522257,1
3158908250,1
3164540055,1
839948250,1
1401021100,1
1280040115,1
766910060,1
4249928250,1
7192110033,1
4224990457,1
7937699100,1
4363910055,1
4873066020,1
8670303666,1
768110055,1
5942510065,1
4668908250,1
5630950315,1
2512606304,1
3597948250,1
301440141,1
5966573357,1
2578420085,1
7180612357,1
2431922373,1
3638030065,1
6806131800,1
3422720160,1
8999360250,1
280933635,1
551332935,1
801650141,1
9858908250,1
7052500372,1
851332935,1
9651084357,1
9677560250,1
1694908250,1
691632135,1
1812010052,1
981908250,1
4211835341,1
91089541,1
9230469157,1
1458908250,1
993041052,1
2007141800,1
707220055,1
4040704157,1
3542005082,1
2121220022,1
