Time of day	Electricity Used (kwH)	Date
0:00		1/1/2017
0:30	50.8	1/1/2017
1:00	54.1	1/1/2017
1:30	54	1/1/2017
10:00	50.3	1/1/2017
10:30	51.4	1/1/2017
11:00	48.6	1/1/2017
11:30	51.2	1/1/2017
12:00	45.7	1/1/2017
12:30	46.4	1/1/2017
13:00	46	1/1/2017
13:30	46.4	1/1/2017
14:00	48.6	1/1/2017
14:30	49.8	1/1/2017
15:00	50.5	1/1/2017
15:30	52	1/1/2017
16:00	50.3	1/1/2017
16:30	50.6	1/1/2017
17:00	53.6	1/1/2017
17:30	53.9	1/1/2017
18:00	53.6	1/1/2017
18:30	55.4	1/1/2017
19:00	55.8	1/1/2017
19:30	53.7	1/1/2017
2:00	55.6	1/1/2017
2:30	54.8	1/1/2017
20:00	54.3	1/1/2017
20:30	52.6	1/1/2017
21:00	51.3	1/1/2017
21:30	51.8	1/1/2017
22:00	51.8	1/1/2017
22:30	52.8	1/1/2017
23:00	52.1	1/1/2017
23:30	49.8	1/1/2017
3:00	52.6	1/1/2017
3:30	52.4	1/1/2017
4:00	50.8	1/1/2017
4:30	48.2	1/1/2017
5:00	49.2	1/1/2017
5:30	51	1/1/2017
6:00	53.2	1/1/2017
6:30	51.9	1/1/2017
7:00	50.2	1/1/2017
7:30	50.4	1/1/2017
8:00	50.4	1/1/2017
8:30	50.7	1/1/2017
9:00	51.7	1/1/2017
9:30	51.6	1/1/2017
0:00	53.8	1/2/2017
0:30	49.5	1/2/2017
1:00	51.9	1/2/2017
1:30	55.2	1/2/2017
10:00	58	1/2/2017
10:30	56.8	1/2/2017
11:00	57.5	1/2/2017
11:30	60	1/2/2017
12:00	57.3	1/2/2017
12:30	56.8	1/2/2017
13:00	57.5	1/2/2017
13:30	56.6	1/2/2017
14:00	56.6	1/2/2017
14:30	57.5	1/2/2017
15:00	56	1/2/2017
15:30	50.8	1/2/2017
16:00	51.3	1/2/2017
16:30	53.7	1/2/2017
17:00	54.9	1/2/2017
17:30	53.2	1/2/2017
18:00	56.2	1/2/2017
18:30	55.1	1/2/2017
19:00	55.9	1/2/2017
19:30	58.1	1/2/2017
2:00	55.4	1/2/2017
2:30	55.3	1/2/2017
20:00	56.9	1/2/2017
20:30	57.3	1/2/2017
21:00	56.5	1/2/2017
21:30	54.9	1/2/2017
22:00	59	1/2/2017
22:30	54.6	1/2/2017
23:00	56.2	1/2/2017
23:30	58.1	1/2/2017
3:00	52.5	1/2/2017
3:30	54.5	1/2/2017
4:00	51.4	1/2/2017
4:30	53.3	1/2/2017
5:00	53.3	1/2/2017
5:30	53.6	1/2/2017
6:00	56.1	1/2/2017
6:30	57.2	1/2/2017
7:00	56.9	1/2/2017
7:30	53.8	1/2/2017
8:00	51.5	1/2/2017
8:30	51.6	1/2/2017
9:00	51.8	1/2/2017
9:30	53.8	1/2/2017
0:00	62	1/3/2017
0:30	55.3	1/3/2017
1:00	61.1	1/3/2017
1:30	63.1	1/3/2017
10:00	96	1/3/2017
10:30	98.5	1/3/2017
11:00	96.7	1/3/2017
11:30	96	1/3/2017
12:00	96.1	1/3/2017
12:30	91.4	1/3/2017
13:00	88.2	1/3/2017
13:30	91.4	1/3/2017
14:00	87.1	1/3/2017
14:30	87.7	1/3/2017
15:00	85.3	1/3/2017
15:30	85.3	1/3/2017
16:00	84.3	1/3/2017
16:30	80.1	1/3/2017
17:00	79.8	1/3/2017
17:30	78.3	1/3/2017
18:00	72.8	1/3/2017
18:30	69.5	1/3/2017
19:00	66.9	1/3/2017
19:30	72.9	1/3/2017
2:00	65.1	1/3/2017
2:30	61.9	1/3/2017
20:00	70	1/3/2017
20:30	69.3	1/3/2017
21:00	66.5	1/3/2017
21:30	62.8	1/3/2017
22:00	63.9	1/3/2017
22:30	65.7	1/3/2017
23:00	62.3	1/3/2017
23:30	61.7	1/3/2017
3:00	59.4	1/3/2017
3:30	58.5	1/3/2017
4:00	57.2	1/3/2017
4:30	59.5	1/3/2017
5:00	62	1/3/2017
5:30	63.6	1/3/2017
6:00	62.6	1/3/2017
6:30	65.9	1/3/2017
7:00	63.9	1/3/2017
7:30	73.3	1/3/2017
8:00	81.7	1/3/2017
8:30	87.8	1/3/2017
9:00	95.2	1/3/2017
9:30	96.9	1/3/2017
0:00	58.7	1/4/2017
0:30	56.4	1/4/2017
1:00	59.2	1/4/2017
1:30	60.6	1/4/2017
10:00	89.6	1/4/2017
10:30	91.5	1/4/2017
11:00	86.9	1/4/2017
11:30	88.3	1/4/2017
12:00	87.5	1/4/2017
12:30	87	1/4/2017
13:00	85.3	1/4/2017
13:30	86.5	1/4/2017
14:00	82.8	1/4/2017
14:30	82.5	1/4/2017
15:00	80.3	1/4/2017
15:30	79.2	1/4/2017
16:00	79.7	1/4/2017
16:30	75.8	1/4/2017
17:00	79.3	1/4/2017
17:30	78.5	1/4/2017
18:00	74	1/4/2017
18:30	73.4	1/4/2017
19:00	70.5	1/4/2017
19:30	70.2	1/4/2017
2:00	58.7	1/4/2017
2:30	57.9	1/4/2017
20:00	67.9	1/4/2017
20:30	65.1	1/4/2017
21:00	64.7	1/4/2017
21:30	64	1/4/2017
22:00	63.2	1/4/2017
22:30	61.9	1/4/2017
23:00	60.3	1/4/2017
23:30	59.3	1/4/2017
3:00	57.5	1/4/2017
3:30	53.7	1/4/2017
4:00	54.3	1/4/2017
4:30	56.1	1/4/2017
5:00	57.2	1/4/2017
5:30	59.1	1/4/2017
6:00	58.2	1/4/2017
6:30	60	1/4/2017
7:00	62.4	1/4/2017
7:30	70.7	1/4/2017
8:00	73.4	1/4/2017
8:30	85.8	1/4/2017
9:00	85.5	1/4/2017
9:30	85	1/4/2017
0:00	63.9	1/5/2017
0:30	57.3	1/5/2017
1:00	60.7	1/5/2017
1:30	61.5	1/5/2017
10:00	95.6	1/5/2017
10:30	94.1	1/5/2017
11:00	93.6	1/5/2017
11:30	93.1	1/5/2017
12:00	92.5	1/5/2017
12:30	94.1	1/5/2017
13:00	92.1	1/5/2017
13:30	94.8	1/5/2017
14:00	93.7	1/5/2017
14:30	90.9	1/5/2017
15:00	87.7	1/5/2017
15:30	82.8	1/5/2017
16:00	78.2	1/5/2017
16:30	79	1/5/2017
17:00	79.5	1/5/2017
17:30	78.9	1/5/2017
18:00	78.2	1/5/2017
18:30	74.4	1/5/2017
19:00	74.1	1/5/2017
19:30	69.9	1/5/2017
2:00	61	1/5/2017
2:30	59.4	1/5/2017
20:00	67	1/5/2017
20:30	66.7	1/5/2017
21:00	66.4	1/5/2017
21:30	64.5	1/5/2017
22:00	65.5	1/5/2017
22:30	65.2	1/5/2017
23:00	62.3	1/5/2017
23:30	64.1	1/5/2017
3:00	57.3	1/5/2017
3:30	59.1	1/5/2017
4:00	59.4	1/5/2017
4:30	61.4	1/5/2017
5:00	60.8	1/5/2017
5:30	62	1/5/2017
6:00	65.1	1/5/2017
6:30	66.2	1/5/2017
7:00	70.8	1/5/2017
7:30	77.3	1/5/2017
8:00	80.2	1/5/2017
8:30	91.2	1/5/2017
9:00	89	1/5/2017
9:30	93.6	1/5/2017
0:00	55	1/6/2017
0:30	63.7	1/6/2017
1:00	61	1/6/2017
1:30	62.4	1/6/2017
10:00	90.1	1/6/2017
10:30	86.3	1/6/2017
11:00	93	1/6/2017
11:30	88.3	1/6/2017
12:00	91.6	1/6/2017
12:30	86.2	1/6/2017
13:00	85.6	1/6/2017
13:30	89.1	1/6/2017
14:00	87.4	1/6/2017
14:30	86.8	1/6/2017
15:00	84.6	1/6/2017
15:30	80.6	1/6/2017
16:00	79	1/6/2017
16:30	78.2	1/6/2017
17:00	73.6	1/6/2017
17:30	72.4	1/6/2017
18:00	70.7	1/6/2017
18:30	69.1	1/6/2017
19:00	69.5	1/6/2017
19:30	70.5	1/6/2017
2:00	61.4	1/6/2017
2:30	63.7	1/6/2017
20:00	67.4	1/6/2017
20:30	67.7	1/6/2017
21:00	65.7	1/6/2017
21:30	64.5	1/6/2017
22:00	64.1	1/6/2017
22:30	62.9	1/6/2017
23:00	57.2	1/6/2017
23:30	57.5	1/6/2017
3:00	63.4	1/6/2017
3:30	61.7	1/6/2017
4:00	59.5	1/6/2017
4:30	59.2	1/6/2017
5:00	60.9	1/6/2017
5:30	64.1	1/6/2017
6:00	65.5	1/6/2017
6:30	70	1/6/2017
7:00	69.8	1/6/2017
7:30	77.2	1/6/2017
8:00	79.4	1/6/2017
8:30	82.8	1/6/2017
9:00	83.1	1/6/2017
9:30	84.8	1/6/2017
0:00	51.1	1/7/2017
0:30	55	1/7/2017
1:00	53.9	1/7/2017
1:30	55.4	1/7/2017
10:00	55.3	1/7/2017
10:30	57.8	1/7/2017
11:00	54.7	1/7/2017
11:30	57.1	1/7/2017
12:00	53.9	1/7/2017
12:30	56.4	1/7/2017
13:00	54.8	1/7/2017
13:30	54.9	1/7/2017
14:00	56.2	1/7/2017
14:30	54.7	1/7/2017
15:00	56.9	1/7/2017
15:30	54.9	1/7/2017
16:00	54.5	1/7/2017
16:30	55.7	1/7/2017
17:00	55.8	1/7/2017
17:30	54.6	1/7/2017
18:00	53.7	1/7/2017
18:30	51.8	1/7/2017
19:00	53.2	1/7/2017
19:30	54.3	1/7/2017
2:00	51.5	1/7/2017
2:30	52.1	1/7/2017
20:00	53.1	1/7/2017
20:30	52.8	1/7/2017
21:00	52.9	1/7/2017
21:30	50.6	1/7/2017
22:00	50.7	1/7/2017
22:30	51.4	1/7/2017
23:00	52.3	1/7/2017
23:30	51.6	1/7/2017
3:00	53.2	1/7/2017
3:30	51.7	1/7/2017
4:00	52	1/7/2017
4:30	50.8	1/7/2017
5:00	52.6	1/7/2017
5:30	52.8	1/7/2017
6:00	55.8	1/7/2017
6:30	55.5	1/7/2017
7:00	53.1	1/7/2017
7:30	54.2	1/7/2017
8:00	53.7	1/7/2017
8:30	53.2	1/7/2017
9:00	54.3	1/7/2017
9:30	56.7	1/7/2017
0:00	49.8	1/8/2017
0:30	50.1	1/8/2017
1:00	51.1	1/8/2017
1:30	50.5	1/8/2017
10:00	53	1/8/2017
10:30	54.3	1/8/2017
11:00	52.7	1/8/2017
11:30	51	1/8/2017
12:00	52.5	1/8/2017
12:30	52.3	1/8/2017
13:00	54	1/8/2017
13:30	52.6	1/8/2017
14:00	53	1/8/2017
14:30	52.3	1/8/2017
15:00	53.3	1/8/2017
15:30	53.3	1/8/2017
16:00	53.3	1/8/2017
16:30	52.4	1/8/2017
17:00	51	1/8/2017
17:30	51.3	1/8/2017
18:00	51.2	1/8/2017
18:30	51.6	1/8/2017
19:00	52.1	1/8/2017
19:30	52.6	1/8/2017
2:00	50.1	1/8/2017
2:30	50	1/8/2017
20:00	55.3	1/8/2017
20:30	50.6	1/8/2017
21:00	51.1	1/8/2017
21:30	48.8	1/8/2017
22:00	48.7	1/8/2017
22:30	48.7	1/8/2017
23:00	52.2	1/8/2017
23:30	51.8	1/8/2017
3:00	50.1	1/8/2017
3:30	51.9	1/8/2017
4:00	49.8	1/8/2017
4:30	52.6	1/8/2017
5:00	50.3	1/8/2017
5:30	52.2	1/8/2017
6:00	53.3	1/8/2017
6:30	51.4	1/8/2017
7:00	50.8	1/8/2017
7:30	52.9	1/8/2017
8:00	50.9	1/8/2017
8:30	51.7	1/8/2017
9:00	56	1/8/2017
9:30	54.7	1/8/2017
0:00	52.2	1/9/2017
0:30	53	1/9/2017
1:00	49	1/9/2017
1:30	52.1	1/9/2017
10:00	82.1	1/9/2017
10:30	82.6	1/9/2017
11:00	79.5	1/9/2017
11:30	78.4	1/9/2017
12:00	78.6	1/9/2017
12:30	81.9	1/9/2017
13:00	80.3	1/9/2017
13:30	81.8	1/9/2017
14:00	78	1/9/2017
14:30	80.4	1/9/2017
15:00	77.4	1/9/2017
15:30	72	1/9/2017
16:00	71.5	1/9/2017
16:30	72.4	1/9/2017
17:00	71.2	1/9/2017
17:30	69.1	1/9/2017
18:00	67.7	1/9/2017
18:30	68.8	1/9/2017
19:00	67.5	1/9/2017
19:30	68.7	1/9/2017
2:00	48.9	1/9/2017
2:30	51.1	1/9/2017
20:00	66.7	1/9/2017
20:30	67	1/9/2017
21:00	63.6	1/9/2017
21:30	63	1/9/2017
22:00	61	1/9/2017
22:30	57.8	1/9/2017
23:00	53.5	1/9/2017
23:30	54.3	1/9/2017
3:00	51.4	1/9/2017
3:30	53.3	1/9/2017
4:00	50.9	1/9/2017
4:30	52.1	1/9/2017
5:00	51.3	1/9/2017
5:30	50.5	1/9/2017
6:00	53	1/9/2017
6:30	54.9	1/9/2017
7:00	58	1/9/2017
7:30	61	1/9/2017
8:00	62.5	1/9/2017
8:30	75.7	1/9/2017
9:00	75.2	1/9/2017
9:30	78.8	1/9/2017
0:00	53.8	1/10/2017
0:30	51.7	1/10/2017
1:00	50.9	1/10/2017
1:30	54.5	1/10/2017
10:00	84.1	1/10/2017
10:30	84.5	1/10/2017
11:00	80	1/10/2017
11:30	81.8	1/10/2017
12:00	83.4	1/10/2017
12:30	79.8	1/10/2017
13:00	80.7	1/10/2017
13:30	80.2	1/10/2017
14:00	78.6	1/10/2017
14:30	78.2	1/10/2017
15:00	77.8	1/10/2017
15:30	73.9	1/10/2017
16:00	74.3	1/10/2017
16:30	73.1	1/10/2017
17:00	71.8	1/10/2017
17:30	72.9	1/10/2017
18:00	71.4	1/10/2017
18:30	68.4	1/10/2017
19:00	68.1	1/10/2017
19:30	69.4	1/10/2017
2:00	52	1/10/2017
2:30	52.7	1/10/2017
20:00	65.4	1/10/2017
20:30	66.2	1/10/2017
21:00	61.6	1/10/2017
21:30	60.5	1/10/2017
22:00	59.6	1/10/2017
22:30	58.8	1/10/2017
23:00	55.4	1/10/2017
23:30	54.4	1/10/2017
3:00	52.4	1/10/2017
3:30	52.6	1/10/2017
4:00	52	1/10/2017
4:30	52.2	1/10/2017
5:00	51.1	1/10/2017
5:30	52.3	1/10/2017
6:00	55.8	1/10/2017
6:30	60.6	1/10/2017
7:00	62.3	1/10/2017
7:30	73.7	1/10/2017
8:00	80.9	1/10/2017
8:30	88	1/10/2017
9:00	84.8	1/10/2017
9:30	88.3	1/10/2017
0:00	57.9	1/11/2017
0:30	52.9	1/11/2017
1:00	50.9	1/11/2017
1:30	48.8	1/11/2017
10:00	77.7	1/11/2017
10:30	77.2	1/11/2017
11:00	77.2	1/11/2017
11:30	72.7	1/11/2017
12:00	74.7	1/11/2017
12:30	81.5	1/11/2017
13:00	78.9	1/11/2017
13:30	79.2	1/11/2017
14:00	76.2	1/11/2017
14:30	76.9	1/11/2017
15:00	73.5	1/11/2017
15:30	73.3	1/11/2017
16:00	73.9	1/11/2017
16:30	75.1	1/11/2017
17:00	77.8	1/11/2017
17:30	75	1/11/2017
18:00	72.7	1/11/2017
18:30	73	1/11/2017
19:00	73.5	1/11/2017
19:30	73.4	1/11/2017
2:00	45.8	1/11/2017
2:30	48.1	1/11/2017
20:00	69.7	1/11/2017
20:30	67.6	1/11/2017
21:00	66.1	1/11/2017
21:30	64.5	1/11/2017
22:00	61.2	1/11/2017
22:30	63	1/11/2017
23:00	58.9	1/11/2017
23:30	57.9	1/11/2017
3:00	51	1/11/2017
3:30	50.9	1/11/2017
4:00	47.7	1/11/2017
4:30	48.7	1/11/2017
5:00	49.5	1/11/2017
5:30	48.7	1/11/2017
6:00	52.1	1/11/2017
6:30	53.9	1/11/2017
7:00	60.4	1/11/2017
7:30	72.4	1/11/2017
8:00	72.7	1/11/2017
8:30	76	1/11/2017
