数据时间,地区,线路名称,线路类型,有功值,无功值,电流值,母线名称,母线电压,温度(℃),湿度(%),气压(Pa),10分钟最大风速(m/s),最大风速时风向,雨量(mm)
2019/1/1 0:00,X地市,10kVX01医院线,医院,1.405482,0.341874,79.49324,10kVⅣ段母线,10.34643,1.6,68,1035.4,5.1,354,0
2019/1/1 0:10,X地市,10kVX01医院线,医院,1.367496,0.31655,79.141502,10kVⅣ段母线,10.31712,1.6,70,1035.5,4.1,351,0
2019/1/1 0:20,X地市,10kVX01医院线,医院,1.342172,0.31655,77.382797,10kVⅣ段母线,10.322982,1.6,71,1035.6,4.2,343,0
2019/1/1 0:30,X地市,10kVX01医院线,医院,1.240876,0.25324,71.051483,10kVⅣ段母线,10.334706,1.6,71,1035.6,4.2,343,0
2019/1/1 0:40,X地市,10kVX01医院线,医院,1.253538,0.265902,71.754959,10kVⅣ段母线,10.34643,1.6,71,1035.6,4.2,343,0
2019/1/1 0:50,X地市,10kVX01医院线,医院,1.304186,0.291226,73.865402,10kVⅣ段母线,10.34643,1.5,70,1035.6,4.4,348,0
2019/1/1 1:00,X地市,10kVX01医院线,医院,1.2662,0.265902,72.810181,10kVⅣ段母线,10.34643,1.5,68,1035.6,5.3,349,0
2019/1/1 1:10,X地市,10kVX01医院线,医院,1.2662,0.265902,72.458443,10kVⅣ段母线,10.352292,1.4,67,1035.7,5.9,349,0
2019/1/1 1:20,X地市,10kVX01医院线,医院,1.291524,0.291226,73.513664,10kVⅣ段母线,10.352292,1.3,66,1035.7,6,351,0
2019/1/1 1:30,X地市,10kVX01医院线,医院,1.291524,0.31655,73.513664,10kVⅣ段母线,10.352292,1.3,66,1035.6,6,351,0
2019/1/1 1:40,X地市,10kVX01医院线,医院,1.316848,0.341874,76.679321,10kVⅣ段母线,10.352292,NULL,NULL,NULL,NULL,NULL,NULL
2019/1/1 1:50,X地市,10kVX01医院线,医院,1.291524,0.31655,73.865402,10kVⅣ段母线,10.352292,1.2,64,1035.7,6,351,0
2019/1/1 2:00,X地市,10kVX01医院线,医院,1.228214,0.278564,68.589302,10kVⅣ段母线,10.364016,1.2,63,1035.7,6,351,0
2019/1/1 2:10,X地市,10kVX01医院线,医院,1.190228,0.25324,68.237564,10kVⅣ段母线,10.37574,1.1,64,1035.8,4,338,0
2019/1/1 2:20,X地市,10kVX01医院线,医院,1.190228,0.265902,66.830597,10kVⅣ段母线,10.364016,1.1,64,1035.8,5.1,355,0
2019/1/1 2:30,X地市,10kVX01医院线,医院,1.278862,0.303888,73.865402,10kVⅣ段母线,10.364016,1.1,64,1035.6,5.1,355,0
2019/1/1 2:40,X地市,10kVX01医院线,医院,1.342172,0.329212,77.382797,10kVⅣ段母线,10.369878,1,63,1035.6,5.1,355,0
2019/1/1 2:50,X地市,10kVX01医院线,医院,1.291524,0.329212,73.161919,10kVⅣ段母线,10.381602,1,64,1035.5,5.4,354,0
2019/1/1 3:00,X地市,10kVX01医院线,医院,1.228214,0.303888,69.996262,10kVⅣ段母线,10.381602,1,64,1035.5,5.4,354,0
2019/1/1 3:10,X地市,10kVX01医院线,医院,1.253538,0.303888,69.996262,10kVⅣ段母线,10.37574,0.9,65,1035.3,4.1,1,0
2019/1/1 3:20,X地市,10kVX01医院线,医院,1.177566,0.265902,67.885818,10kVⅣ段母线,10.381602,0.9,65,1035.3,4.2,352,0
2019/1/1 3:30,X地市,10kVX01医院线,医院,1.177566,0.265902,66.478859,10kVⅣ段母线,10.37574,0.9,65,1035.1,4.2,352,0
2019/1/1 3:40,X地市,10kVX01医院线,医院,1.177566,0.265902,66.830597,10kVⅣ段母线,10.387464,0.9,65,1035.1,4.2,352,0
2019/1/1 3:50,X地市,10kVX01医院线,医院,1.20289,0.265902,67.182343,10kVⅣ段母线,10.387464,0.8,66,1035,4.2,352,0
2019/1/1 4:00,X地市,10kVX01医院线,医院,1.215552,0.291226,69.292778,10kVⅣ段母线,10.387464,NULL,NULL,NULL,NULL,NULL,NULL
2019/1/1 4:10,X地市,10kVX01医院线,医院,1.278862,0.31655,73.513664,10kVⅣ段母线,10.381602,0.8,68,1034.8,3.4,0,0
2019/1/1 4:20,X地市,10kVX01医院线,医院,1.228214,0.31655,69.292778,10kVⅣ段母线,10.393326,NULL,NULL,NULL,NULL,NULL,NULL
2019/1/1 4:30,X地市,10kVX01医院线,医院,1.190228,0.291226,68.94104,10kVⅣ段母线,10.381602,0.8,68,1034.8,3.5,24,0
2019/1/1 4:40,X地市,10kVX01医院线,医院,1.20289,0.291226,69.644524,10kVⅣ段母线,10.393326,0.8,69,1034.7,3.5,24,0
2019/1/1 4:50,X地市,10kVX01医院线,医院,1.228214,0.291226,69.644524,10kVⅣ段母线,10.387464,NULL,NULL,NULL,NULL,NULL,NULL
2019/1/1 5:00,X地市,10kVX01医院线,医院,1.190228,0.265902,66.478859,10kVⅣ段母线,10.393326,0.8,71,1034.6,3.5,24,0
2019/1/1 5:10,X地市,10kVX01医院线,医院,1.228214,0.291226,68.589302,10kVⅣ段母线,10.393326,0.8,70,1034.6,4,15,0
2019/1/1 5:20,X地市,10kVX01医院线,医院,1.253538,0.291226,70.699738,10kVⅣ段母线,10.387464,0.8,71,1034.7,4,15,0
2019/1/1 5:30,X地市,10kVX01医院线,医院,1.215552,0.278564,68.94104,10kVⅣ段母线,10.381602,0.8,71,1034.7,4,15,0
2019/1/1 5:40,X地市,10kVX01医院线,医院,1.32951,0.329212,74.920624,10kVⅣ段母线,10.393326,0.8,71,1034.8,4,15,0
2019/1/1 5:50,X地市,10kVX01医院线,医院,1.215552,0.265902,69.292778,10kVⅣ段母线,10.393326,0.8,72,1035,4,15,0
2019/1/1 6:00,X地市,10kVX01医院线,医院,1.278862,0.265902,71.051483,10kVⅣ段母线,10.381602,0.7,72,1035.1,4,15,0
2019/1/1 6:10,X地市,10kVX01医院线,医院,1.304186,0.303888,73.865402,10kVⅣ段母线,10.369878,0.8,72,1035.3,2.7,345,0
2019/1/1 6:20,X地市,10kVX01医院线,医院,1.291524,0.278564,73.865402,10kVⅣ段母线,10.358154,0.7,72,1035.4,2.7,345,0
2019/1/1 6:30,X地市,10kVX01医院线,医院,1.32951,0.278564,77.031059,10kVⅣ段母线,10.364016,0.7,71,1035.5,2.7,345,0
2019/1/1 6:40,X地市,10kVX01医院线,医院,1.342172,0.291226,75.6241,10kVⅣ段母线,10.358154,0.7,72,1035.6,2.7,345,0
2019/1/1 6:50,X地市,10kVX01医院线,医院,1.532102,0.329212,87.231522,10kVⅣ段母线,10.34643,0.7,73,1035.7,2.7,345,0
2019/1/1 7:00,X地市,10kVX01医院线,医院,1.51944,0.329212,87.934998,10kVⅣ段母线,10.352292,0.7,72,1035.8,2.7,351,0
2019/1/1 7:10,X地市,10kVX01医院线,医院,1.633398,0.329212,92.155884,10kVⅣ段母线,10.340568,0.7,72,1035.9,2,346,0
2019/1/1 7:20,X地市,10kVX01医院线,医院,1.64606,0.354536,91.804138,10kVⅣ段母线,10.340568,0.7,71,1036.1,2.2,356,0
2019/1/1 7:30,X地市,10kVX01医院线,医院,1.658722,0.354536,95.673279,10kVⅣ段母线,10.322982,0.8,71,1036.3,2.2,356,0
2019/1/1 7:40,X地市,10kVX01医院线,医院,1.608074,0.329212,92.85936,10kVⅣ段母线,10.334706,0.8,70,1036.4,2.2,356,0
2019/1/1 7:50,X地市,10kVX01医院线,医院,1.633398,0.341874,92.85936,10kVⅣ段母线,10.31712,0.9,71,1036.4,2.2,356,0
2019/1/1 8:00,X地市,10kVX01医院线,医院,1.58275,0.329212,90.748924,10kVⅣ段母线,10.31712,NULL,NULL,NULL,NULL,NULL,NULL
2019/1/1 8:10,X地市,10kVX01医院线,医院,1.557426,0.291226,87.58326,10kVⅣ段母线,10.34643,1,71,1036.6,1.6,337,0
2019/1/1 8:20,X地市,10kVX01医院线,医院,1.570088,0.329212,88.990219,10kVⅣ段母线,10.334706,1,69,1036.8,1.6,355,0
2019/1/1 8:30,X地市,10kVX01医院线,医院,1.544764,0.303888,90.045441,10kVⅣ段母线,10.311258,1.1,68,1036.8,1.6,355,0
2019/1/1 8:40,X地市,10kVX01医院线,医院,1.570088,0.329212,90.045441,10kVⅣ段母线,10.31712,1.2,69,1036.7,1.6,355,0
2019/1/1 8:50,X地市,10kVX01医院线,医院,1.544764,0.215254,88.286743,10kVⅣ段母线,10.305396,1.3,66,1036.7,2.1,10,0
2019/1/1 9:00,X地市,10kVX01医院线,医院,1.595412,0.202592,91.100662,10kVⅣ段母线,10.31712,1.3,65,1036.8,3.4,340,0
2019/1/1 9:10,X地市,10kVX01医院线,医院,1.570088,0.202592,90.045441,10kVⅣ段母线,10.311258,1.4,63,1036.8,2.6,12,0
2019/1/1 9:20,X地市,10kVX01医院线,医院,1.58275,0.18993,90.397179,10kVⅣ段母线,10.311258,1.5,62,1036.8,3.1,0,0
2019/1/1 9:30,X地市,10kVX01医院线,医院,1.595412,0.18993,91.804138,10kVⅣ段母线,10.299534,1.5,63,1036.8,3.1,0,0
2019/1/1 9:40,X地市,10kVX01医院线,医院,1.58275,0.227916,90.397179,10kVⅣ段母线,10.28781,1.9,62,1036.6,3.1,0,0
