Age,Areas,ID,Salary
61,B  ,360,6124
35, D,418,6028
59, D,417,6074
48, D,1,6352
31, D,87,6235
15,  C  ,53,5897
57, D,934,5724
57, D,194,5766
69,  C  ,323,6054
56, D,921,5740
63, D,932,5948
57,  C  ,888,5894
72,B  ,197,6154
57,B  ,684,6173
13,B  ,886,5822
47,  C  ,550,5873
62, D,420,6343
66, D,192,6053
78,  C  ,399,6293
74, D,521,5955
36,  C  ,781,6297
42,B  ,774,6038
39, D,458,5559
69, D,901,5707
77, D,920,5969
36, D,466,6482
41, D,2,6080
56,B  ,949,6101
59, D,368,5921
69, D,282,6204
63,B  ,121,6075
59, D,265,5612
43, D,858,5918
56, D,549,6236
32,B  ,342,5909
40,  C  ,278,5976
53, D,829,6274
65, D,998,6018
21, D,938,6336
64, D,395,5941
72, D,994,6048
52, D,60,5927
54, D,892,6094
13, D,93,6041
35, D,321,5856
68, A  ,233,5891
70,B  ,426,6018
67,  C  ,652,5535
71,B  ,268,6017
30, D,817,5866
16,B  ,260,6122
11,B  ,958,5839
10, D,624,5939
16,B  ,333,6154
57, D,773,5816
17, A  ,96,6141
76, D,387,5802
39,B  ,139,6079
58, D,195,6104
17,B  ,523,5663
75,  C  ,628,6334
20,  C  ,493,6220
53, D,552,6019
25,B  ,680,6079
15, D,745,5846
13, D,891,5870
51, D,579,5973
51,  C  ,12,6290
61, D,991,6088
56, D,533,6244
21,B  ,993,5840
62,  C  ,216,5917
37,  C  ,172,6063
10, A  ,19,6062
23, D,246,5664
68, D,455,6067
51,B  ,1000,5928
64, D,62,5928
27,  C  ,141,5701
47,  C  ,453,6092
73,B  ,35,5930
73,B  ,485,6172
56, D,501,6076
72, A  ,619,6257
54, D,892,6094
33,  C  ,39,5922
73,B  ,183,5871
27, D,101,6376
65, D,339,5863
75, D,768,6003
35, D,604,6047
48, A  ,632,5976
17,B  ,824,5881
62,  C  ,10,6082
17, D,883,6011
27,B  ,191,5741
27,B  ,50,5957
69, D,640,6271
65, D,998,6018
79, D,859,5892
70, D,502,5993
50, D,911,5836
14, D,976,5938
25,B  ,510,6260
46,B  ,344,5757
16, A  ,711,5859
60,B  ,547,6215
73,B  ,183,5871
45, D,294,5787
33, D,222,5930
72,B  ,706,6426
35, A  ,736,5550
31, D,237,6298
44, D,40,5939
72, D,994,6048
30,  C  ,436,6062
53, D,947,6055
