变压器,年,月,日,时,分,额定容量(KVA),电压(KV),电流(A)
1000000001,2018,1,1,0,0,30,6,3
1000000001,2018,1,1,0,15,30,6,3
1000000001,2018,1,1,0,30,30,6,3
1000000001,2018,1,1,0,45,30,6,3
1000000001,2018,1,1,1,0,30,10,2
1000000001,2018,1,1,1,15,30,10,2
1000000001,2018,1,1,1,30,30,10,2
1000000001,2018,1,1,1,45,30,10,2
1000000001,2018,1,1,2,0,30,10,2
1000000001,2018,1,1,2,15,30,10,2
1000000001,2018,1,1,2,30,30,10,2
1000000001,2018,1,1,2,45,30,10,2
1000000001,2018,1,1,3,0,30,12,2
1000000001,2018,1,1,3,15,30,12,2
1000000001,2018,1,1,3,30,30,10,2
1000000001,2018,1,1,3,45,30,10,2
1000000001,2018,1,1,4,0,30,10,2
1000000001,2018,1,1,4,15,30,10,2
1000000001,2018,1,1,4,30,30,10,2
1000000001,2018,1,1,4,45,30,10,2
1000000001,2018,1,1,5,0,30,10,2
1000000001,2018,1,1,5,15,30,10,2
1000000001,2018,1,1,5,30,30,10,2
1000000001,2018,1,1,5,45,30,10,2
1000000001,2018,1,1,6,0,30,10,2
1000000001,2018,1,1,6,15,30,10,2
1000000001,2018,1,1,6,30,30,10,2
1000000001,2018,1,1,6,45,30,10,2
1000000001,2018,1,1,7,0,30,10,2
1000000001,2018,1,1,7,15,30,10,2
1000000001,2018,1,1,7,30,30,10,2
1000000001,2018,1,1,7,45,30,10,2
1000000001,2018,1,1,8,0,30,10,2
1000000001,2018,1,1,8,15,30,10,2
1000000001,2018,1,1,8,30,30,10,2
1000000001,2018,1,1,8,45,30,10,2
1000000001,2018,1,1,9,0,30,10,2
1000000001,2018,1,1,9,15,30,10,2
1000000001,2018,1,1,9,30,30,10,2
1000000001,2018,1,1,9,45,30,10,2
1000000001,2018,1,1,10,0,30,10,2
1000000001,2018,1,1,10,15,30,10,2
1000000001,2018,1,1,10,30,30,10,3
1000000001,2018,1,1,10,45,30,10,3
1000000001,2018,1,1,11,0,30,10,3
1000000001,2018,1,1,11,15,30,10,2
1000000001,2018,1,1,11,30,30,10,2
1000000001,2018,1,1,11,45,30,10,2
1000000001,2018,1,1,12,0,30,10,2
1000000001,2018,1,1,12,15,30,10,2
1000000001,2018,1,1,12,30,30,10,2
1000000001,2018,1,1,12,45,30,10,2
1000000001,2018,1,1,13,0,30,10,2
1000000001,2018,1,1,13,15,30,10,2
1000000001,2018,1,1,13,30,30,10,2
1000000001,2018,1,1,13,45,30,10,2
1000000001,2018,1,1,14,0,30,10,2
1000000001,2018,1,1,14,15,30,10,2
1000000001,2018,1,1,14,30,30,10,2
1000000001,2018,1,1,14,45,30,10,2
1000000001,2018,1,1,15,0,30,10,2
1000000001,2018,1,1,15,15,30,10,2
1000000001,2018,1,1,15,30,30,10,2
1000000001,2018,1,1,15,45,30,10,2
1000000001,2018,1,1,16,0,30,10,2
1000000001,2018,1,1,16,15,30,10,2
1000000001,2018,1,1,16,30,30,10,2
1000000001,2018,1,1,16,45,30,10,2
1000000001,2018,1,1,17,0,30,10,2
1000000001,2018,1,1,17,15,30,10,2
1000000001,2018,1,1,17,30,30,10,2
1000000001,2018,1,1,17,45,30,10,2
1000000001,2018,1,1,18,0,30,10,2
1000000001,2018,1,1,18,15,30,10,2
1000000001,2018,1,1,18,30,30,10,2
1000000001,2018,1,1,18,45,30,10,2
1000000001,2018,1,1,19,0,30,10,2
1000000001,2018,1,1,19,15,30,10,2
1000000001,2018,1,1,19,30,30,10,2
1000000001,2018,1,1,19,45,30,10,2
1000000001,2018,1,1,20,0,30,10,2
1000000001,2018,1,1,20,15,30,10,2
1000000001,2018,1,1,20,30,30,10,2
1000000001,2018,1,1,20,45,30,10,2
1000000001,2018,1,1,21,0,30,10,2
1000000001,2018,1,1,21,15,30,10,2
1000000001,2018,1,1,21,30,30,10,2
1000000001,2018,1,1,21,45,30,10,2
1000000001,2018,1,1,22,0,30,10,2
1000000001,2018,1,1,22,15,30,10,2
1000000001,2018,1,1,22,30,30,10,2
1000000001,2018,1,1,22,45,30,10,2
1000000001,2018,1,1,23,0,30,10,2
1000000001,2018,1,1,23,15,30,10,2
1000000001,2018,1,1,23,30,30,10,2
1000000001,2018,1,1,23,45,30,10,2
1000000001,2018,1,2,0,0,30,10,2
1000000001,2018,1,2,0,15,30,8,2
1000000001,2018,1,2,0,30,30,8,2
1000000001,2018,1,2,0,45,30,8,2
1000000001,2018,1,2,1,0,30,8,2
1000000001,2018,1,2,1,15,30,8,2
1000000001,2018,1,2,1,30,30,8,2
1000000001,2018,1,2,1,45,30,8,2
1000000001,2018,1,2,2,0,30,8,2
1000000001,2018,1,2,2,15,30,8,2
1000000001,2018,1,2,2,30,30,8,2
1000000001,2018,1,2,2,45,30,8,2
1000000001,2018,1,2,3,0,30,8,2
1000000001,2018,1,2,3,15,30,8,2
1000000001,2018,1,2,3,30,30,8,2
1000000001,2018,1,2,3,45,30,8,2
1000000001,2018,1,2,4,0,30,8,2
1000000001,2018,1,2,4,15,30,8,2
1000000001,2018,1,2,4,30,30,8,2
1000000001,2018,1,2,4,45,30,8,2
1000000001,2018,1,2,5,0,30,8,2
1000000001,2018,1,2,5,15,30,8,2
1000000001,2018,1,2,5,30,30,8,2
1000000001,2018,1,2,5,45,30,8,2
1000000001,2018,1,2,6,0,30,8,2
1000000001,2018,1,2,6,15,30,8,2
1000000001,2018,1,2,6,30,30,8,2
1000000001,2018,1,2,6,45,30,8,2
1000000001,2018,1,2,7,0,30,8,2
1000000001,2018,1,2,7,15,30,8,2
1000000001,2018,1,2,7,30,30,8,2
1000000001,2018,1,2,7,45,30,8,2
1000000001,2018,1,2,8,0,30,8,2
1000000001,2018,1,2,8,15,30,8,2
1000000001,2018,1,2,8,30,30,8,2
1000000001,2018,1,2,8,45,30,8,2
1000000001,2018,1,2,9,0,30,8,2
1000000001,2018,1,2,9,15,30,8,2
1000000001,2018,1,2,9,30,30,8,2
1000000001,2018,1,2,9,45,30,8,2
1000000001,2018,1,2,10,0,30,8,2
1000000001,2018,1,2,10,15,30,8,2
1000000001,2018,1,2,10,30,30,8,2
1000000001,2018,1,2,10,45,30,8,2
1000000001,2018,1,2,11,0,30,8,2
1000000001,2018,1,2,11,15,30,8,2
1000000001,2018,1,2,11,30,30,8,2
1000000001,2018,1,2,11,45,30,8,2
1000000001,2018,1,2,12,0,30,8,2
1000000001,2018,1,2,12,15,30,8,2
1000000001,2018,1,2,12,30,30,8,2
1000000001,2018,1,2,12,45,30,8,2
1000000001,2018,1,2,13,0,30,8,2
1000000001,2018,1,2,13,15,30,8,2
1000000001,2018,1,2,13,30,30,8,2
1000000001,2018,1,2,13,45,30,8,2
1000000001,2018,1,2,14,0,30,8,2
1000000001,2018,1,2,14,15,30,8,2
1000000001,2018,1,2,14,30,30,8,2
1000000001,2018,1,2,14,45,30,8,2
1000000001,2018,1,2,15,0,30,8,2
1000000001,2018,1,2,15,15,30,8,2
1000000001,2018,1,2,15,30,30,8,2
1000000001,2018,1,2,15,45,30,8,2
1000000001,2018,1,2,16,0,30,8,2
1000000001,2018,1,2,16,15,30,8,2
1000000001,2018,1,2,16,30,30,8,2
